member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,235.43779683113098,0.5652173913043478,0.8315789473684211,0.3392857142857143,-1,-1,-1,-1
True,False,0,235.43779683113098,0.4666666666666667,0.6904761904761905,0.2708333333333333,-1,-1,-1,-1
False,True,0,9.5367431640625e-07,0.5652173913043478,0.8315789473684211,0.3392857142857143,-1,-1,-1,-1
False,False,0,9.5367431640625e-07,0.4666666666666667,0.6904761904761905,0.2708333333333333,-1,-1,-1,-1
True,True,169,227.55494356155396,0.5893719806763285,0.5684210526315789,0.6071428571428571,-1,-1,-1,-1
True,False,169,227.55494356155396,0.5222222222222223,0.47619047619047616,0.5625,-1,-1,-1,-1
False,True,169,7.152557373046875e-07,0.5893719806763285,0.5684210526315789,0.6071428571428571,-1,-1,-1,-1
False,False,169,7.152557373046875e-07,0.5222222222222223,0.47619047619047616,0.5625,-1,-1,-1,-1
True,True,338,229.84005618095398,0.6038647342995169,0.7263157894736842,0.5,-1,-1,-1,-1
True,False,338,229.84005618095398,0.4666666666666667,0.5714285714285714,0.375,-1,-1,-1,-1
False,True,338,7.152557373046875e-07,0.6038647342995169,0.7263157894736842,0.5,-1,-1,-1,-1
False,False,338,7.152557373046875e-07,0.4666666666666667,0.5714285714285714,0.375,-1,-1,-1,-1
True,True,507,225.04597854614258,0.6183574879227053,0.4631578947368421,0.75,-1,-1,-1,-1
True,False,507,225.04597854614258,0.5555555555555556,0.30952380952380953,0.7708333333333334,-1,-1,-1,-1
False,True,507,1.1920928955078125e-06,0.6183574879227053,0.4631578947368421,0.75,-1,-1,-1,-1
False,False,507,1.1920928955078125e-06,0.5555555555555556,0.30952380952380953,0.7708333333333334,-1,-1,-1,-1
True,True,676,224.2141978740692,0.6231884057971014,0.5789473684210527,0.6607142857142857,-1,-1,-1,-1
True,False,676,224.2141978740692,0.5666666666666667,0.5,0.625,-1,-1,-1,-1
False,True,676,9.5367431640625e-07,0.6231884057971014,0.5789473684210527,0.6607142857142857,-1,-1,-1,-1
False,False,676,9.5367431640625e-07,0.5666666666666667,0.5,0.625,-1,-1,-1,-1
True,True,845,226.46860933303833,0.5893719806763285,0.3368421052631579,0.8035714285714286,-1,-1,-1,-1
True,False,845,226.46860933303833,0.5222222222222223,0.21428571428571427,0.7916666666666666,-1,-1,-1,-1
False,True,845,9.5367431640625e-07,0.5893719806763285,0.3368421052631579,0.8035714285714286,-1,-1,-1,-1
False,False,845,9.5367431640625e-07,0.5222222222222223,0.21428571428571427,0.7916666666666666,-1,-1,-1,-1
True,True,1014,218.89631485939026,0.4782608695652174,0.7052631578947368,0.2857142857142857,-1,-1,-1,-1
True,False,1014,218.89631485939026,0.43333333333333335,0.7142857142857143,0.1875,-1,-1,-1,-1
False,True,1014,1.1920928955078125e-06,0.4782608695652174,0.7052631578947368,0.2857142857142857,-1,-1,-1,-1
False,False,1014,1.1920928955078125e-06,0.43333333333333335,0.7142857142857143,0.1875,-1,-1,-1,-1
True,True,1183,227.85089135169983,0.5990338164251208,0.5894736842105263,0.6071428571428571,-1,-1,-1,-1
True,False,1183,227.85089135169983,0.4888888888888889,0.40476190476190477,0.5625,-1,-1,-1,-1
False,True,1183,1.1920928955078125e-06,0.5990338164251208,0.5894736842105263,0.6071428571428571,-1,-1,-1,-1
False,False,1183,1.1920928955078125e-06,0.4888888888888889,0.40476190476190477,0.5625,-1,-1,-1,-1
True,True,1352,235.95396637916565,0.6231884057971014,0.6842105263157895,0.5714285714285714,-1,-1,-1,-1
True,False,1352,235.95396637916565,0.4777777777777778,0.5238095238095238,0.4375,-1,-1,-1,-1
False,True,1352,1.1920928955078125e-06,0.6231884057971014,0.6842105263157895,0.5714285714285714,-1,-1,-1,-1
False,False,1352,1.1920928955078125e-06,0.4777777777777778,0.5238095238095238,0.4375,-1,-1,-1,-1
True,True,1521,210.28300976753235,0.5990338164251208,0.4105263157894737,0.7589285714285714,-1,-1,-1,-1
True,False,1521,210.28300976753235,0.5888888888888889,0.42857142857142855,0.7291666666666666,-1,-1,-1,-1
False,True,1521,9.5367431640625e-07,0.5990338164251208,0.4105263157894737,0.7589285714285714,-1,-1,-1,-1
False,False,1521,9.5367431640625e-07,0.5888888888888889,0.42857142857142855,0.7291666666666666,-1,-1,-1,-1
True,True,1690,227.92673254013062,0.6135265700483091,0.5368421052631579,0.6785714285714286,-1,-1,-1,-1
True,False,1690,227.92673254013062,0.5333333333333333,0.4523809523809524,0.6041666666666666,-1,-1,-1,-1
False,True,1690,9.5367431640625e-07,0.6135265700483091,0.5368421052631579,0.6785714285714286,-1,-1,-1,-1
False,False,1690,9.5367431640625e-07,0.5333333333333333,0.4523809523809524,0.6041666666666666,-1,-1,-1,-1
True,True,1859,214.04408955574036,0.6135265700483091,0.5789473684210527,0.6428571428571429,-1,-1,-1,-1
True,False,1859,214.04408955574036,0.5444444444444444,0.47619047619047616,0.6041666666666666,-1,-1,-1,-1
False,True,1859,7.152557373046875e-07,0.6135265700483091,0.5789473684210527,0.6428571428571429,-1,-1,-1,-1
False,False,1859,7.152557373046875e-07,0.5444444444444444,0.47619047619047616,0.6041666666666666,-1,-1,-1,-1
True,True,2028,236.15152883529663,0.5942028985507246,0.3263157894736842,0.8214285714285714,-1,-1,-1,-1
True,False,2028,236.15152883529663,0.4666666666666667,0.16666666666666666,0.7291666666666666,-1,-1,-1,-1
False,True,2028,1.1920928955078125e-06,0.5942028985507246,0.3263157894736842,0.8214285714285714,-1,-1,-1,-1
False,False,2028,1.1920928955078125e-06,0.4666666666666667,0.16666666666666666,0.7291666666666666,-1,-1,-1,-1
True,True,2197,237.11079597473145,0.6086956521739131,0.5052631578947369,0.6964285714285714,-1,-1,-1,-1
True,False,2197,237.11079597473145,0.4222222222222222,0.2857142857142857,0.5416666666666666,-1,-1,-1,-1
False,True,2197,9.5367431640625e-07,0.6086956521739131,0.5052631578947369,0.6964285714285714,-1,-1,-1,-1
False,False,2197,9.5367431640625e-07,0.4222222222222222,0.2857142857142857,0.5416666666666666,-1,-1,-1,-1
True,True,2366,226.6691029071808,0.5990338164251208,0.25263157894736843,0.8928571428571429,-1,-1,-1,-1
True,False,2366,226.6691029071808,0.4888888888888889,0.07142857142857142,0.8541666666666666,-1,-1,-1,-1
False,True,2366,9.5367431640625e-07,0.5990338164251208,0.25263157894736843,0.8928571428571429,-1,-1,-1,-1
False,False,2366,9.5367431640625e-07,0.4888888888888889,0.07142857142857142,0.8541666666666666,-1,-1,-1,-1
True,True,2535,231.10929465293884,0.6231884057971014,0.6526315789473685,0.5982142857142857,-1,-1,-1,-1
True,False,2535,231.10929465293884,0.4888888888888889,0.5238095238095238,0.4583333333333333,-1,-1,-1,-1
False,True,2535,9.5367431640625e-07,0.6231884057971014,0.6526315789473685,0.5982142857142857,-1,-1,-1,-1
False,False,2535,9.5367431640625e-07,0.4888888888888889,0.5238095238095238,0.4583333333333333,-1,-1,-1,-1
True,True,2704,237.23717260360718,0.6328502415458938,0.6631578947368421,0.6071428571428571,-1,-1,-1,-1
True,False,2704,237.23717260360718,0.5222222222222223,0.5238095238095238,0.5208333333333334,-1,-1,-1,-1
