gen,nevals
1,500
2,353
3,383
4,371
5,358
6,403
7,371
8,373
9,387
10,384
11,392
12,383
13,404
14,370
15,379
16,400
17,402
18,390
19,383
20,386
21,374
22,395
23,380
24,351
25,381
26,397
27,396
28,394
29,383
30,393
31,374
32,381
33,385
34,362
35,376
36,385
37,362
38,373
39,367
40,360
41,371
42,389
43,375
44,382
45,383
46,378
47,378
48,370
49,393
50,407
51,373
52,389
53,382
54,392
55,376
56,384
57,388
58,395
59,378
60,364
61,389
62,383
63,386
64,379
65,397
66,391
67,360
68,384
69,380
70,379
71,381
72,367
73,387
74,375
75,383
76,379
77,374
78,359
79,371
80,380
81,381
82,368
83,365
84,377
85,370
86,384
87,392
88,377
89,368
90,386
91,368
92,385
93,373
94,397
95,391
96,364
97,366
98,392
99,368
100,369
