gen,nevals
1,500
2,389
3,387
4,382
5,374
6,389
7,374
8,396
9,379
10,356
11,384
12,377
13,372
14,375
15,366
16,387
17,417
18,367
19,373
20,394
21,378
22,379
23,390
24,385
25,376
26,357
27,365
28,383
29,375
30,386
31,381
32,383
33,373
34,379
35,375
36,382
37,394
38,403
39,365
40,388
41,393
42,368
43,378
44,375
45,371
46,381
47,406
48,358
49,384
50,375
51,361
52,377
53,369
54,390
55,380
56,385
57,374
58,370
59,391
60,380
61,390
62,381
63,374
64,395
65,396
66,376
67,386
68,363
69,382
70,362
71,372
72,373
73,377
74,387
75,377
76,381
77,390
78,379
79,350
80,396
81,383
82,398
83,364
84,394
85,373
86,378
87,381
88,380
89,372
90,372
91,388
92,397
93,370
94,374
95,381
96,378
97,375
98,362
99,387
100,402
