member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,0.036081790924072266,0.3333333333333333,1.0,0.0,-1,-1,-1,-1
True,False,0,0.036081790924072266,0.3333333333333333,1.0,0.0,-1,-1,-1,-1
False,True,0,0.0064771175384521484,0.3333333333333333,1.0,0.0,-1,-1,-1,-1
False,False,0,0.0064771175384521484,0.3333333333333333,1.0,0.0,-1,-1,-1,-1
True,True,169,0.03563809394836426,0.3333333333333333,1.0,0.0,-1,-1,-1,-1
True,False,169,0.03563809394836426,0.3333333333333333,1.0,0.0,-1,-1,-1,-1
False,True,169,0.007333993911743164,0.3333333333333333,1.0,0.0,-1,-1,-1,-1
False,False,169,0.007333993911743164,0.3333333333333333,1.0,0.0,-1,-1,-1,-1
True,True,338,0.025905132293701172,0.3333333333333333,1.0,0.0,-1,-1,-1,-1
True,False,338,0.025905132293701172,0.3333333333333333,1.0,0.0,-1,-1,-1,-1
False,True,338,0.008046627044677734,0.37142857142857144,1.0,0.11428571428571428,-1,-1,-1,-1
False,False,338,0.008046627044677734,0.35555555555555557,1.0,0.06666666666666667,-1,-1,-1,-1
True,True,507,0.03205990791320801,0.3333333333333333,1.0,0.0,-1,-1,-1,-1
True,False,507,0.03205990791320801,0.3333333333333333,1.0,0.0,-1,-1,-1,-1
False,True,507,0.004617929458618164,0.3333333333333333,1.0,0.0,-1,-1,-1,-1
False,False,507,0.004617929458618164,0.3333333333333333,1.0,0.0,-1,-1,-1,-1
True,True,676,0.03839993476867676,0.6666666666666666,1.0,1.0,-1,-1,-1,-1
True,False,676,0.03839993476867676,0.6666666666666666,1.0,1.0,-1,-1,-1,-1
False,True,676,0.006849050521850586,0.6666666666666666,1.0,1.0,-1,-1,-1,-1
False,False,676,0.006849050521850586,0.6666666666666666,1.0,1.0,-1,-1,-1,-1
True,True,845,0.028657913208007812,0.3333333333333333,1.0,0.0,-1,-1,-1,-1
True,False,845,0.028657913208007812,0.3333333333333333,1.0,0.0,-1,-1,-1,-1
False,True,845,0.004881858825683594,0.3333333333333333,1.0,0.0,-1,-1,-1,-1
False,False,845,0.004881858825683594,0.3333333333333333,1.0,0.0,-1,-1,-1,-1
