member_generation,training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,True,0,0.0385589599609375,0.5901639344262295,0.29411764705882354,0.7045454545454546,-1,-1,-1,-1
True,False,0,0.0385589599609375,0.37037037037037035,0.14285714285714285,0.45,-1,-1,-1,-1
False,True,0,9.5367431640625e-07,0.5901639344262295,0.29411764705882354,0.7045454545454546,-1,-1,-1,-1
False,False,0,9.5367431640625e-07,0.37037037037037035,0.14285714285714285,0.45,-1,-1,-1,-1
True,True,169,0.06337213516235352,0.5245901639344263,0.35294117647058826,0.5909090909090909,-1,-1,-1,-1
True,False,169,0.06337213516235352,0.48148148148148145,0.42857142857142855,0.5,-1,-1,-1,-1
False,True,169,3.0994415283203125e-06,0.5245901639344263,0.35294117647058826,0.5909090909090909,-1,-1,-1,-1
False,False,169,3.0994415283203125e-06,0.48148148148148145,0.42857142857142855,0.5,-1,-1,-1,-1
True,True,338,0.04745888710021973,0.639344262295082,0.23529411764705882,0.7954545454545454,-1,-1,-1,-1
True,False,338,0.04745888710021973,0.5185185185185185,0.2857142857142857,0.6,-1,-1,-1,-1
False,True,338,1.9073486328125e-06,0.639344262295082,0.23529411764705882,0.7954545454545454,-1,-1,-1,-1
False,False,338,1.9073486328125e-06,0.5185185185185185,0.2857142857142857,0.6,-1,-1,-1,-1
True,True,507,0.07211494445800781,0.5737704918032787,0.5294117647058824,0.5909090909090909,-1,-1,-1,-1
True,False,507,0.07211494445800781,0.3333333333333333,0.14285714285714285,0.4,-1,-1,-1,-1
False,True,507,2.1457672119140625e-06,0.5737704918032787,0.5294117647058824,0.5909090909090909,-1,-1,-1,-1
False,False,507,2.1457672119140625e-06,0.3333333333333333,0.14285714285714285,0.4,-1,-1,-1,-1
True,True,676,0.06791496276855469,0.32786885245901637,1.0,0.06818181818181818,-1,-1,-1,-1
True,False,676,0.06791496276855469,0.2962962962962963,0.8571428571428571,0.1,-1,-1,-1,-1
False,True,676,2.1457672119140625e-06,0.32786885245901637,1.0,0.06818181818181818,-1,-1,-1,-1
