gen,nevals
1,500
2,370
3,367
4,394
5,392
6,379
7,378
8,374
9,386
10,392
11,403
12,382
13,374
14,385
15,389
16,385
17,353
18,381
19,384
20,356
21,383
22,378
23,383
24,374
25,369
26,393
27,376
28,388
29,363
30,390
31,384
32,378
33,372
34,358
35,355
36,397
37,358
38,370
39,390
40,391
41,399
42,398
43,397
44,374
45,380
46,387
47,381
48,386
49,364
50,369
51,380
52,398
53,372
54,397
55,386
56,383
57,383
58,377
59,368
60,376
61,394
62,393
63,368
64,375
65,384
66,365
67,369
68,378
69,388
70,382
71,388
72,383
73,375
74,371
75,382
76,400
77,392
78,366
79,375
80,385
81,377
82,367
83,385
84,380
85,382
86,378
87,395
88,376
89,393
90,350
91,372
92,392
93,383
94,377
95,369
96,397
97,387
98,362
99,393
100,386
