,gen,evals,avg,min,max,nevals
0,0,500.0,[0.4205     0.62797452],[0. 0.],[1. 1.],
1,1,,[0.44406818 0.62211465],[0. 0.],[1. 1.],362.0
2,2,,[0.45731818 0.61378344],[0. 0.],[1. 1.],385.0
3,3,,[0.46559091 0.60797452],[0. 0.],[1. 1.],394.0
4,4,,[0.48040909 0.59592357],[0. 0.],[1. 1.],371.0
5,5,,[0.49695455 0.58380892],[0. 0.],[1. 1.],358.0
6,6,,[0.50056818 0.58170701],[0. 0.],[1. 1.],398.0
7,7,,[0.51377273 0.5746879 ],[0. 0.],[1. 1.],390.0
8,8,,[0.51956818 0.56912102],[0. 0.],[1. 1.],387.0
9,9,,[0.52377273 0.56670064],[0. 0.],[1. 1.],381.0
10,10,,[0.52468182 0.57031847],[0. 0.],[1. 1.],366.0
11,11,,[0.53509091 0.56476433],[0. 0.],[1. 1.],391.0
12,12,,[0.54306818 0.55694268],[0. 0.],[1. 1.],388.0
13,13,,[0.53909091 0.558     ],[0. 0.],[1. 1.],389.0
14,14,,[0.54131818 0.56473885],[0. 0.],[1. 1.],404.0
15,15,,[0.54634091 0.56289172],[0. 0.],[1. 1.],377.0
16,16,,[0.55086364 0.56142675],[0. 0.],[1. 1.],347.0
17,17,,[0.54938636 0.552     ],[0. 0.],[1. 1.],375.0
18,18,,[0.55177273 0.55415287],[0. 0.],[1. 1.],390.0
19,19,,[0.55609091 0.54942675],[0. 0.],[1. 1.],384.0
20,20,,[0.55088636 0.55628025],[0. 0.],[1. 1.],389.0
21,21,,[0.55497727 0.55030573],[0. 0.],[1. 1.],397.0
22,22,,[0.55538636 0.55546497],[0.         0.01273885],[0.95454545 1.        ],381.0
23,23,,[0.56052273 0.55194904],[0. 0.],[0.95454545 1.        ],354.0
24,24,,[0.55834091 0.55188535],[0. 0.],[1. 1.],368.0
25,25,,[0.55420455 0.55112102],[0.         0.01910828],[0.95454545 1.        ],378.0
26,26,,[0.55818182 0.5550828 ],[0. 0.],[1. 1.],367.0
27,27,,[0.56093182 0.5484586 ],[0. 0.],[1. 1.],363.0
28,28,,[0.56306818 0.55019108],[0. 0.],[1. 1.],374.0
29,29,,[0.56327273 0.55054777],[0. 0.],[1. 1.],396.0
30,30,,[0.56154545 0.55388535],[0. 0.],[1. 1.],385.0
