,training,seed,time,full_acc,full_tpr,full_tnr
0,True,0,804.9775831699371,0.8296041308089501,0.875886524822695,0.7859531772575251
1,False,0,804.9775831699371,0.7911646586345381,0.8512396694214877,0.734375
2,True,169,280.4333951473236,0.8537005163511188,0.8865248226950354,0.822742474916388
3,False,169,280.4333951473236,0.8273092369477911,0.7851239669421488,0.8671875
4,True,338,266.71579098701477,0.8450946643717728,0.8439716312056738,0.8461538461538461
5,False,338,266.71579098701477,0.8554216867469879,0.9173553719008265,0.796875
6,True,507,354.1650040149689,0.8296041308089501,0.7340425531914894,0.919732441471572
7,False,507,354.1650040149689,0.8192771084337349,0.7355371900826446,0.8984375
8,True,676,370.4615728855133,0.8450946643717728,0.851063829787234,0.8394648829431438
9,False,676,370.4615728855133,0.8473895582329317,0.8512396694214877,0.84375
10,True,845,651.6919686794281,0.8347676419965576,0.8546099290780141,0.8160535117056856
11,False,845,651.6919686794281,0.8032128514056225,0.8264462809917356,0.78125
12,True,1014,436.94238209724426,0.8502581755593803,0.8652482269503546,0.8361204013377926
13,False,1014,436.94238209724426,0.8353413654618473,0.8429752066115702,0.828125
14,True,1183,779.1652159690857,0.5542168674698795,0.1453900709219858,0.939799331103679
15,False,1183,779.1652159690857,0.5381526104417671,0.1322314049586777,0.921875
16,True,1352,1207.9159610271454,0.8571428571428571,0.8829787234042553,0.8327759197324415
17,False,1352,1207.9159610271454,0.8192771084337349,0.7851239669421488,0.8515625
18,True,1521,1115.5513098239899,0.8296041308089501,0.7624113475177305,0.8929765886287625
19,False,1521,1115.5513098239899,0.8353413654618473,0.7851239669421488,0.8828125
20,True,1690,375.72972083091736,0.8347676419965576,0.8475177304964538,0.822742474916388
21,False,1690,375.72972083091736,0.8554216867469879,0.8842975206611571,0.828125
22,True,1859,572.3640038967133,0.8640275387263339,0.8581560283687943,0.8695652173913043
23,False,1859,572.3640038967133,0.8192771084337349,0.8016528925619835,0.8359375
24,True,2028,725.7359108924866,0.8450946643717728,0.8865248226950354,0.8060200668896321
25,False,2028,725.7359108924866,0.7710843373493976,0.8760330578512396,0.671875
26,True,2197,398.86358618736267,0.8313253012048193,0.8794326241134752,0.7859531772575251
27,False,2197,398.86358618736267,0.8473895582329317,0.8925619834710744,0.8046875
28,True,2366,3163.368894815445,0.5542168674698795,0.10283687943262411,0.979933110367893
29,False,2366,3163.368894815445,0.5301204819277109,0.09090909090909091,0.9453125
30,True,2535,230.8855402469635,0.8554216867469879,0.8687943262411347,0.842809364548495
31,False,2535,230.8855402469635,0.8313253012048193,0.8347107438016529,0.828125
32,True,2704,238.14489006996155,0.8640275387263339,0.8687943262411347,0.8595317725752508
33,False,2704,238.14489006996155,0.8152610441767069,0.8347107438016529,0.796875
34,True,2873,236.96771001815796,0.8382099827882961,0.8120567375886525,0.862876254180602
35,False,2873,236.96771001815796,0.8473895582329317,0.7851239669421488,0.90625
36,True,3042,775.8004021644592,0.8296041308089501,0.7588652482269503,0.8963210702341137
37,False,3042,775.8004021644592,0.8393574297188755,0.768595041322314,0.90625
38,True,3211,279.7871479988098,0.8382099827882961,0.776595744680851,0.8963210702341137
39,False,3211,279.7871479988098,0.8112449799196787,0.768595041322314,0.8515625
40,True,3380,335.45661902427673,0.8502581755593803,0.8262411347517731,0.8729096989966555
41,False,3380,335.45661902427673,0.8554216867469879,0.8347107438016529,0.875
42,True,3549,566.7156269550323,0.8313253012048193,0.8475177304964538,0.8160535117056856
43,False,3549,566.7156269550323,0.8755020080321285,0.8760330578512396,0.875
44,True,3718,2749.811495065689,0.8364888123924269,0.875886524822695,0.7993311036789298
45,False,3718,2749.811495065689,0.7751004016064257,0.8099173553719008,0.7421875
46,True,3887,307.861212015152,0.8450946643717728,0.8687943262411347,0.822742474916388
47,False,3887,307.861212015152,0.8273092369477911,0.9008264462809917,0.7578125
48,True,4056,298.59224677085876,0.8416523235800344,0.8368794326241135,0.8461538461538461
49,False,4056,298.59224677085876,0.8674698795180723,0.8264462809917356,0.90625
50,True,4225,695.3631718158722,0.8450946643717728,0.8404255319148937,0.8494983277591973
51,False,4225,695.3631718158722,0.8273092369477911,0.8016528925619835,0.8515625
52,True,4394,350.7031292915344,0.8296041308089501,0.8900709219858156,0.7725752508361204
53,False,4394,350.7031292915344,0.8072289156626506,0.9008264462809917,0.71875
54,True,4563,565.0521459579468,0.8537005163511188,0.8652482269503546,0.842809364548495
55,False,4563,565.0521459579468,0.8032128514056225,0.8016528925619835,0.8046875
56,True,4732,1649.4524970054626,0.8330464716006885,0.8581560283687943,0.8093645484949833
57,False,4732,1649.4524970054626,0.7791164658634538,0.8016528925619835,0.7578125
58,True,4901,499.3200509548187,0.8554216867469879,0.8900709219858156,0.822742474916388
59,False,4901,499.3200509548187,0.7991967871485943,0.8347107438016529,0.765625
