,gen,evals,avg,min,max,nevals
0,0,500.0,[ 0.49814618 -0.11801536],[ 0.19801229 -0.11879637],[ 0.83377808 -0.11770905],
1,1,,[ 0.50065757 -0.11783208],[ 0.19801229 -0.11878477],[ 0.83377808 -0.11771482],368.0
2,2,,[ 0.49978428 -0.11779522],[ 0.19801229 -0.11877304],[ 0.81455917 -0.11772478],360.0
3,3,,[ 0.49777546 -0.11780026],[ 0.19801229 -0.11877304],[ 0.81455917 -0.11773388],390.0
4,4,,[ 0.49663525 -0.11779682],[ 0.19507104 -0.11879637],[ 0.81820608 -0.11773634],376.0
5,5,,[ 0.49573562 -0.11779233],[ 0.19507104 -0.11876863],[ 0.81820608 -0.11772495],378.0
6,6,,[ 0.49087367 -0.11779398],[ 0.19370123 -0.11876863],[ 0.81820608 -0.11772665],364.0
7,7,,[ 0.49157563 -0.1178136 ],[ 0.19674328 -0.11879637],[ 0.81820608 -0.11772495],377.0
8,8,,[ 0.49617031 -0.11779984],[ 0.19801229 -0.11875407],[ 0.81820608 -0.11773586],376.0
9,9,,[ 0.49497284 -0.11779975],[ 0.19801229 -0.11874128],[ 0.81121469 -0.11771482],366.0
10,10,,[ 0.4961005  -0.11779627],[ 0.16257501 -0.11875529],[ 0.81121469 -0.11771482],374.0
11,11,,[ 0.49272759 -0.11780519],[ 0.16257501 -0.11879637],[ 0.81121469 -0.11771482],373.0
12,12,,[ 0.49583383 -0.11779966],[ 0.16257501 -0.11873948],[ 0.79777746 -0.1177191 ],396.0
13,13,,[ 0.49345136 -0.11781543],[ 0.16257501 -0.11879637],[ 0.80670201 -0.11773249],383.0
14,14,,[ 0.49215203 -0.11780096],[ 0.16257501 -0.11877304],[ 0.80670201 -0.11770905],359.0
15,15,,[ 0.49220837 -0.11780317],[ 0.16257501 -0.11878477],[ 0.80670201 -0.11772478],373.0
16,16,,[ 0.49431565 -0.11779599],[ 0.16257501 -0.11876863],[ 0.79777746 -0.11772665],368.0
17,17,,[ 0.4973555 -0.1178049],[ 0.16257501 -0.11874642],[ 0.80198771 -0.11771511],386.0
18,18,,[ 0.49293299 -0.11779406],[ 0.16257501 -0.11874642],[ 0.80198771 -0.11772665],381.0
19,19,,[ 0.49560992 -0.11780803],[ 0.16257501 -0.11879637],[ 0.80198771 -0.11771482],372.0
20,20,,[ 0.49529348 -0.11780418],[ 0.16257501 -0.11875422],[ 0.80797101 -0.11773388],404.0
21,21,,[ 0.498516  -0.1178022],[ 0.16257501 -0.11874642],[ 0.80797101 -0.11773388],374.0
22,22,,[ 0.49808314 -0.11778917],[ 0.16257501 -0.11879637],[ 0.80797101 -0.11773867],382.0
23,23,,[ 0.49863599 -0.1177931 ],[ 0.18554164 -0.11877304],[ 0.80797101 -0.11773649],378.0
24,24,,[ 0.49647082 -0.11781508],[ 0.18554164 -0.11878477],[ 0.80801252 -0.11773388],382.0
25,25,,[ 0.49365871 -0.11780017],[ 0.18554164 -0.11877304],[ 0.81071064 -0.11772665],378.0
26,26,,[ 0.49326704 -0.1178093 ],[ 0.18554164 -0.11877304],[ 0.81071064 -0.1177191 ],380.0
27,27,,[ 0.49129268 -0.11780232],[ 0.18554164 -0.11875529],[ 0.80801252 -0.1177191 ],386.0
28,28,,[ 0.48686033 -0.11780737],[ 0.18554164 -0.11876863],[ 0.80797101 -0.11773586],372.0
29,29,,[ 0.48897878 -0.11782308],[ 0.18554164 -0.11876863],[ 0.80797101 -0.11771511],359.0
30,30,,[ 0.48913942 -0.11780905],[ 0.18554164 -0.11874333],[ 0.80797101 -0.11771482],376.0
31,31,,[ 0.49014949 -0.11780266],[ 0.18554164 -0.11875956],[ 0.81318935 -0.1177191 ],396.0
32,32,,[ 0.49203034 -0.11782241],[ 0.18554164 -0.11876863],[ 0.81318935 -0.11772866],389.0
33,33,,[ 0.49551547 -0.11781028],[ 0.18554164 -0.11876863],[ 0.81318935 -0.11771482],382.0
34,34,,[ 0.49541377 -0.11780835],[ 0.18554164 -0.11877304],[ 0.80797101 -0.11771482],375.0
35,35,,[ 0.49463023 -0.11779842],[ 0.18554164 -0.11877304],[ 0.81683626 -0.11773586],383.0
36,36,,[ 0.49231522 -0.11779698],[ 0.18554164 -0.11875529],[ 0.81683626 -0.11771482],369.0
37,37,,[ 0.49242905 -0.11779881],[ 0.19365972 -0.11874281],[ 0.81683626 -0.11772665],372.0
38,38,,[ 0.48998136 -0.11779307],[ 0.19365972 -0.11874333],[ 0.80797101 -0.11772665],371.0
39,39,,[ 0.48775393 -0.11780502],[ 0.19198748 -0.11879637],[ 0.80797101 -0.11773639],373.0
40,40,,[ 0.48960176 -0.11780978],[ 0.19198748 -0.11879637],[ 0.8089791  -0.11772478],364.0
41,41,,[ 0.49224377 -0.11781885],[ 0.19553358 -0.11879637],[ 0.80198771 -0.11772478],390.0
42,42,,[ 0.49275901 -0.11781178],[ 0.19553358 -0.11879637],[ 0.80517209 -0.11773388],367.0
43,43,,[ 0.49251211 -0.11780864],[ 0.20470125 -0.11879637],[ 0.80517209 -0.1177191 ],384.0
44,44,,[ 0.49603394 -0.1178008 ],[ 0.19442468 -0.11879637],[ 0.80198771 -0.11770905],369.0
45,45,,[ 0.49675715 -0.11779872],[ 0.16622192 -0.11875956],[ 0.79580279 -0.11770905],393.0
46,46,,[ 0.50186632 -0.11779934],[ 0.19442468 -0.11875422],[ 0.79580279 -0.11773639],391.0
47,47,,[ 0.50182645 -0.11780478],[ 0.19988615 -0.11877304],[ 0.79580279 -0.11771482],370.0
48,48,,[ 0.50372152 -0.11779164],[ 0.19988615 -0.11877304],[ 0.79580279 -0.11771482],381.0
49,49,,[ 0.50487729 -0.11780512],[ 0.19988615 -0.11879637],[ 0.80076022 -0.11771482],391.0
50,50,,[ 0.4999327  -0.11780717],[ 0.19988615 -0.11878477],[ 0.80076022 -0.11772866],358.0
