training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,0,503.6349883079529,0.7971014492753623,0.7789473684210526,0.8125,91,21,21,74
False,0,503.6349883079529,0.8333333333333334,0.8333333333333334,0.8333333333333334,40,8,7,35
True,169,508.25504755973816,0.8067632850241546,0.7263157894736842,0.875,98,14,26,69
False,169,508.25504755973816,0.7444444444444445,0.5714285714285714,0.8958333333333334,43,5,18,24
True,338,570.7636952400208,0.8405797101449275,0.8315789473684211,0.8482142857142857,95,17,16,79
False,338,570.7636952400208,0.7111111111111111,0.6428571428571429,0.7708333333333334,37,11,15,27
True,507,450.3115258216858,0.8115942028985508,0.8,0.8214285714285714,92,20,19,76
False,507,450.3115258216858,0.7777777777777778,0.6904761904761905,0.8541666666666666,41,7,13,29
True,676,468.0935275554657,0.7729468599033816,0.7263157894736842,0.8125,91,21,26,69
False,676,468.0935275554657,0.8,0.6904761904761905,0.8958333333333334,43,5,13,29
True,845,517.6383686065674,0.8260869565217391,0.7894736842105263,0.8571428571428571,96,16,20,75
False,845,517.6383686065674,0.7777777777777778,0.8333333333333334,0.7291666666666666,35,13,7,35
True,1014,513.8475480079651,0.8260869565217391,0.8105263157894737,0.8392857142857143,94,18,18,77
False,1014,513.8475480079651,0.7444444444444445,0.7619047619047619,0.7291666666666666,35,13,10,32
True,1183,567.1931354999542,0.821256038647343,0.8421052631578947,0.8035714285714286,90,22,15,80
False,1183,567.1931354999542,0.8,0.8809523809523809,0.7291666666666666,35,13,5,37
True,1352,513.8321719169617,0.8019323671497585,0.7263157894736842,0.8660714285714286,97,15,26,69
False,1352,513.8321719169617,0.8444444444444444,0.8095238095238095,0.875,42,6,8,34
True,1521,529.5953180789948,0.821256038647343,0.7684210526315789,0.8660714285714286,97,15,22,73
False,1521,529.5953180789948,0.7111111111111111,0.6190476190476191,0.7916666666666666,38,10,16,26
True,1690,504.8249900341034,0.7922705314009661,0.6631578947368421,0.9017857142857143,101,11,32,63
False,1690,504.8249900341034,0.7222222222222222,0.5,0.9166666666666666,44,4,21,21
True,1859,514.4527840614319,0.8067632850241546,0.7894736842105263,0.8214285714285714,92,20,20,75
False,1859,514.4527840614319,0.7888888888888889,0.7142857142857143,0.8541666666666666,41,7,12,30
True,2028,444.89965295791626,0.8067632850241546,0.6526315789473685,0.9375,105,7,33,62
False,2028,444.89965295791626,0.7333333333333333,0.5714285714285714,0.875,42,6,18,24
True,2197,454.83072543144226,0.8115942028985508,0.7157894736842105,0.8928571428571429,100,12,27,68
False,2197,454.83072543144226,0.8,0.6428571428571429,0.9375,45,3,15,27
True,2366,457.3920633792877,0.8260869565217391,0.8105263157894737,0.8392857142857143,94,18,18,77
False,2366,457.3920633792877,0.8333333333333334,0.7619047619047619,0.8958333333333334,43,5,10,32
True,2535,476.46699380874634,0.8164251207729468,0.7473684210526316,0.875,98,14,24,71
False,2535,476.46699380874634,0.8444444444444444,0.8095238095238095,0.875,42,6,8,34
True,2704,482.46627283096313,0.8019323671497585,0.7157894736842105,0.875,98,14,27,68
False,2704,482.46627283096313,0.7666666666666667,0.5952380952380952,0.9166666666666666,44,4,17,25
True,2873,510.88609170913696,0.7971014492753623,0.8210526315789474,0.7767857142857143,87,25,17,78
False,2873,510.88609170913696,0.8222222222222222,0.8571428571428571,0.7916666666666666,38,10,6,36
True,3042,521.2821714878082,0.7971014492753623,0.8105263157894737,0.7857142857142857,88,24,18,77
False,3042,521.2821714878082,0.8333333333333334,0.8333333333333334,0.8333333333333334,40,8,7,35
True,3211,519.999433517456,0.8260869565217391,0.7578947368421053,0.8839285714285714,99,13,23,72
False,3211,519.999433517456,0.7888888888888889,0.6904761904761905,0.875,42,6,13,29
True,3380,494.208553314209,0.7681159420289855,0.8,0.7410714285714286,83,29,19,76
False,3380,494.208553314209,0.8555555555555555,0.7619047619047619,0.9375,45,3,10,32
True,3549,566.3612315654755,0.8019323671497585,0.7473684210526316,0.8482142857142857,95,17,24,71
False,3549,566.3612315654755,0.8555555555555555,0.8333333333333334,0.875,42,6,7,35
True,3718,432.60411286354065,0.8115942028985508,0.8105263157894737,0.8125,91,21,18,77
False,3718,432.60411286354065,0.8444444444444444,0.8333333333333334,0.8541666666666666,41,7,7,35
True,3887,577.5764253139496,0.7922705314009661,0.7368421052631579,0.8392857142857143,94,18,25,70
False,3887,577.5764253139496,0.8444444444444444,0.7619047619047619,0.9166666666666666,44,4,10,32
True,4056,525.1025958061218,0.8309178743961353,0.7789473684210526,0.875,98,14,21,74
False,4056,525.1025958061218,0.7555555555555555,0.5952380952380952,0.8958333333333334,43,5,17,25
True,4225,527.5706069469452,0.8019323671497585,0.7684210526315789,0.8303571428571429,93,19,22,73
False,4225,527.5706069469452,0.8,0.9047619047619048,0.7083333333333334,34,14,4,38
True,4394,563.2541060447693,0.7874396135265701,0.631578947368421,0.9196428571428571,103,9,35,60
False,4394,563.2541060447693,0.7777777777777778,0.6428571428571429,0.8958333333333334,43,5,15,27
True,4563,530.9046196937561,0.8164251207729468,0.7052631578947368,0.9107142857142857,102,10,28,67
False,4563,530.9046196937561,0.7555555555555555,0.6666666666666666,0.8333333333333334,40,8,14,28
True,4732,477.8178608417511,0.7922705314009661,0.6631578947368421,0.9017857142857143,101,11,32,63
False,4732,477.8178608417511,0.8,0.6190476190476191,0.9583333333333334,46,2,16,26
True,4901,570.5726516246796,0.7922705314009661,0.7052631578947368,0.8660714285714286,97,15,28,67
False,4901,570.5726516246796,0.7333333333333333,0.6904761904761905,0.7708333333333334,37,11,13,29
