,gen,nevals
0,1,500
1,2,391
2,3,407
3,4,377
4,5,385
5,6,371
6,7,405
7,8,371
8,9,395
9,10,356
10,11,380
11,12,405
12,13,389
13,14,378
14,15,394
15,16,387
16,17,377
17,18,376
18,19,363
19,20,384
20,21,399
21,22,400
22,23,376
23,24,394
24,25,374
25,26,382
26,27,389
27,28,378
28,29,393
29,30,398
30,31,376
31,32,354
32,33,391
33,34,401
34,35,391
35,36,373
36,37,393
37,38,378
38,39,375
39,40,389
40,41,400
41,42,373
42,43,383
43,44,374
44,45,365
45,46,402
46,47,393
47,48,360
48,49,390
49,50,381
