,gen,evals,avg,min,max,nevals
0,0,500.0,[ 0.53294246 -0.02615646],[ 0.26357122 -0.02639059],[ 0.80157064 -0.02598047],
1,1,,[ 0.53469101 -0.02606797],[ 0.26263028 -0.02634548],[ 0.80406775 -0.02599366],388.0
2,2,,[ 0.54311791 -0.02604975],[ 0.26263028 -0.0263651 ],[ 0.80406775 -0.02599366],395.0
3,3,,[ 0.54467118 -0.02604827],[ 0.26711783 -0.0263651 ],[ 0.80406775 -0.02602352],381.0
4,4,,[ 0.54606521 -0.02605286],[ 0.28253474 -0.02638323],[ 0.78358425 -0.02598869],386.0
5,5,,[ 0.55063354 -0.02605326],[ 0.30258396 -0.02639059],[ 0.80106398 -0.02598869],376.0
6,6,,[ 0.55015728 -0.02605294],[ 0.30258396 -0.0263726 ],[ 0.80106398 -0.02601708],394.0
7,7,,[ 0.55229003 -0.02605462],[ 0.30681818 -0.0263726 ],[ 0.80106398 -0.02598118],373.0
8,8,,[ 0.55862297 -0.02605201],[ 0.30681818 -0.0263838 ],[ 0.80106398 -0.02599458],376.0
9,9,,[ 0.56232962 -0.02605566],[ 0.2769253  -0.02639059],[ 0.80106398 -0.02601285],383.0
10,10,,[ 0.56384286 -0.02605837],[ 0.2769253  -0.02638323],[ 0.80106398 -0.02599458],390.0
11,11,,[ 0.56272119 -0.0260508 ],[ 0.2769253  -0.02632223],[ 0.80106398 -0.02602704],375.0
12,12,,[ 0.5640595  -0.02605089],[ 0.2769253  -0.02630674],[ 0.80106398 -0.02600358],393.0
13,13,,[ 0.56449421 -0.02605366],[ 0.28828894 -0.02639059],[ 0.80106398 -0.02598047],366.0
14,14,,[ 0.56530284 -0.02605502],[ 0.28510423 -0.02639059],[ 0.80106398 -0.02599366],400.0
15,15,,[ 0.56481775 -0.02605116],[ 0.28846989 -0.0263838 ],[ 0.80106398 -0.02600358],384.0
16,16,,[ 0.56223169 -0.02605241],[ 0.31239143 -0.0263838 ],[ 0.80106398 -0.02600358],374.0
17,17,,[ 0.56059047 -0.02604858],[ 0.31239143 -0.02639059],[ 0.81311523 -0.02598047],379.0
18,18,,[ 0.56220194 -0.02605294],[ 0.31239143 -0.0263651 ],[ 0.81311523 -0.02598869],382.0
19,19,,[ 0.56167024 -0.02605383],[ 0.31239143 -0.0263651 ],[ 0.81311523 -0.02601296],370.0
20,20,,[ 0.56265706 -0.02605576],[ 0.29371743 -0.02635324],[ 0.81311523 -0.02598869],402.0
21,21,,[ 0.56317957 -0.02605785],[ 0.29371743 -0.02639059],[ 0.7963231  -0.02599366],379.0
22,22,,[ 0.562978   -0.02605044],[ 0.30265634 -0.02635324],[ 0.7963231  -0.02599458],384.0
23,23,,[ 0.56508715 -0.0260495 ],[ 0.29603358 -0.02638323],[ 0.7963231  -0.02598118],383.0
24,24,,[ 0.56598777 -0.02605439],[ 0.25868558 -0.02634548],[ 0.7963231  -0.02598869],370.0
25,25,,[ 0.5675988  -0.02605503],[ 0.29284887 -0.02639059],[ 0.80768674 -0.02598869],386.0
26,26,,[ 0.56669448 -0.0260531 ],[ 0.29284887 -0.02639059],[ 0.80768674 -0.02598869],370.0
27,27,,[ 0.56349464 -0.02605713],[ 0.29284887 -0.0263651 ],[ 0.80768674 -0.02598869],375.0
28,28,,[ 0.5641014 -0.0260568],[ 0.31695136 -0.02638144],[ 0.80725246 -0.02601986],385.0
29,29,,[ 0.56239295 -0.02605432],[ 0.30196873 -0.0263726 ],[ 0.81224667 -0.02600342],394.0
30,30,,[ 0.56215685 -0.02605324],[ 0.21666908 -0.02633108],[ 0.81224667 -0.02598047],372.0
31,31,,[ 0.5607943  -0.02605363],[ 0.21666908 -0.0263651 ],[ 0.80200492 -0.02601178],398.0
32,32,,[ 0.56027164 -0.02605322],[ 0.19274754 -0.0263651 ],[ 0.7963231 -0.0259959],381.0
33,33,,[ 0.5598763  -0.02605255],[ 0.19274754 -0.0263651 ],[ 0.7963231  -0.02601615],400.0
34,34,,[ 0.55954249 -0.02605096],[ 0.28503185 -0.02630475],[ 0.7963231  -0.02599366],383.0
35,35,,[ 0.56092045 -0.02605388],[ 0.26986827 -0.02632305],[ 0.7963231  -0.02599366],381.0
36,36,,[ 0.56237942 -0.02605392],[ 0.2959612  -0.02633108],[ 0.80088303 -0.02599366],395.0
37,37,,[ 0.56101078 -0.02605644],[ 0.30533439 -0.0263838 ],[ 0.80088303 -0.0259959 ],399.0
38,38,,[ 0.55863752 -0.02605873],[ 0.31601042 -0.02638144],[ 0.80088303 -0.02600828],382.0
39,39,,[ 0.56184779 -0.02605252],[ 0.28372901 -0.02631612],[ 0.80088303 -0.02600358],400.0
40,40,,[ 0.56350883 -0.02605293],[ 0.28372901 -0.02632977],[ 0.80088303 -0.02600358],387.0
41,41,,[ 0.56350615 -0.02605044],[ 0.29389838 -0.02630971],[ 0.80406775 -0.02600358],373.0
42,42,,[ 0.56563086 -0.02605059],[ 0.31677041 -0.02634548],[ 0.80088303 -0.02602231],390.0
43,43,,[ 0.56589013 -0.02605199],[ 0.31677041 -0.02634548],[ 0.80088303 -0.02600385],367.0
44,44,,[ 0.56573704 -0.02604937],[ 0.30540677 -0.026334  ],[ 0.80088303 -0.02600385],373.0
45,45,,[ 0.56765084 -0.0260541 ],[ 0.29447742 -0.02631145],[ 0.7963231  -0.02598869],368.0
46,46,,[ 0.56608606 -0.02605138],[ 0.29447742 -0.0263838 ],[ 0.7963231  -0.02599458],366.0
47,47,,[ 0.56220317 -0.02605675],[ 0.33710915 -0.02639059],[ 0.7963231  -0.02599458],372.0
48,48,,[ 0.56272163 -0.02605204],[ 0.28803561 -0.02634548],[ 0.79132889 -0.02601615],372.0
49,49,,[ 0.56601361 -0.02604876],[ 0.33055877 -0.02632305],[ 0.79132889 -0.02601615],413.0
50,50,,[ 0.56751042 -0.02605237],[ 0.31995512 -0.0263726 ],[ 0.79132889 -0.02602259],375.0
