training,seed,time,full_acc,full_tpr,full_tnr
True,0,833.819340467453,0.6763285024154589,0.4421052631578947,0.875
False,0,833.819340467453,0.6444444444444445,0.4523809523809524,0.8125
True,169,888.0765466690063,0.5893719806763285,0.9894736842105263,0.25
False,169,888.0765466690063,0.5444444444444444,0.9047619047619048,0.22916666666666666
True,338,799.59805560112,0.5072463768115942,0.9368421052631579,0.14285714285714285
False,338,799.59805560112,0.5222222222222223,1.0,0.10416666666666667
True,507,861.4732990264893,0.7053140096618358,0.45263157894736844,0.9196428571428571
False,507,861.4732990264893,0.7222222222222222,0.47619047619047616,0.9375
True,676,844.5463893413544,0.6521739130434783,0.25263157894736843,0.9910714285714286
False,676,844.5463893413544,0.6444444444444445,0.30952380952380953,0.9375
True,845,894.5785629749298,0.6521739130434783,0.9157894736842105,0.42857142857142855
False,845,894.5785629749298,0.6,0.9285714285714286,0.3125
True,1014,913.9553124904633,0.6038647342995169,0.1368421052631579,1.0
False,1014,913.9553124904633,0.5666666666666667,0.09523809523809523,0.9791666666666666
True,1183,871.589408159256,0.714975845410628,0.4,0.9821428571428571
False,1183,871.589408159256,0.7222222222222222,0.4523809523809524,0.9583333333333334
True,1352,803.757716178894,0.45893719806763283,1.0,0.0
False,1352,803.757716178894,0.4666666666666667,1.0,0.0
True,1521,897.9319648742676,0.7922705314009661,0.7157894736842105,0.8571428571428571
False,1521,897.9319648742676,0.6555555555555556,0.5714285714285714,0.7291666666666666
True,1690,902.3212416172028,0.7584541062801933,0.7263157894736842,0.7857142857142857
False,1690,902.3212416172028,0.7,0.5714285714285714,0.8125
True,1859,921.3332583904266,0.782608695652174,0.6947368421052632,0.8571428571428571
False,1859,921.3332583904266,0.7333333333333333,0.5476190476190477,0.8958333333333334
True,2028,747.8337342739105,0.748792270531401,0.6842105263157895,0.8035714285714286
False,2028,747.8337342739105,0.7888888888888889,0.6904761904761905,0.875
True,2197,795.7920851707458,0.7777777777777778,0.7789473684210526,0.7767857142857143
False,2197,795.7920851707458,0.8,0.7380952380952381,0.8541666666666666
True,2366,772.2986476421356,0.5893719806763285,0.16842105263157894,0.9464285714285714
False,2366,772.2986476421356,0.5555555555555556,0.14285714285714285,0.9166666666666666
True,2535,848.3413376808167,0.7294685990338164,0.7157894736842105,0.7410714285714286
False,2535,848.3413376808167,0.8111111111111111,0.8571428571428571,0.7708333333333334
True,2704,777.4450612068176,0.6618357487922706,0.28421052631578947,0.9821428571428571
False,2704,777.4450612068176,0.6444444444444445,0.2619047619047619,0.9791666666666666
True,2873,778.7783796787262,0.7777777777777778,0.7684210526315789,0.7857142857142857
False,2873,778.7783796787262,0.8111111111111111,0.8333333333333334,0.7916666666666666
True,3042,871.3089106082916,0.748792270531401,0.5157894736842106,0.9464285714285714
False,3042,871.3089106082916,0.7666666666666667,0.5238095238095238,0.9791666666666666
True,3211,865.1069753170013,0.7004830917874396,0.35789473684210527,0.9910714285714286
False,3211,865.1069753170013,0.6111111111111112,0.21428571428571427,0.9583333333333334
True,3380,868.3814854621887,0.5700483091787439,0.968421052631579,0.23214285714285715
False,3380,868.3814854621887,0.5555555555555556,0.9047619047619048,0.25
True,3549,744.5250389575958,0.7101449275362319,0.9368421052631579,0.5178571428571429
False,3549,744.5250389575958,0.7444444444444445,0.9761904761904762,0.5416666666666666
True,3718,907.3867571353912,0.6666666666666666,0.9578947368421052,0.41964285714285715
False,3718,907.3867571353912,0.5666666666666667,0.8333333333333334,0.3333333333333333
True,3887,860.8303189277649,0.7342995169082126,0.6631578947368421,0.7946428571428571
False,3887,860.8303189277649,0.7111111111111111,0.6904761904761905,0.7291666666666666
True,4056,829.7737731933594,0.7777777777777778,0.8736842105263158,0.6964285714285714
False,4056,829.7737731933594,0.7444444444444445,0.8095238095238095,0.6875
True,4225,803.1555685997009,0.6859903381642513,0.35789473684210527,0.9642857142857143
False,4225,803.1555685997009,0.7,0.4523809523809524,0.9166666666666666
True,4394,836.6197183132172,0.7294685990338164,0.4421052631578947,0.9732142857142857
False,4394,836.6197183132172,0.7,0.42857142857142855,0.9375
True,4563,833.3930428028107,0.7971014492753623,0.6105263157894737,0.9553571428571429
False,4563,833.3930428028107,0.7111111111111111,0.47619047619047616,0.9166666666666666
True,4732,908.6819410324097,0.7536231884057971,0.6105263157894737,0.875
False,4732,908.6819410324097,0.7888888888888889,0.5952380952380952,0.9583333333333334
True,4901,826.6806449890137,0.748792270531401,0.5263157894736842,0.9375
False,4901,826.6806449890137,0.7555555555555555,0.6428571428571429,0.8541666666666666
