,gen,evals,avg,min,max,nevals
0,0,500.0,[ 4.89304647e-01 -3.60611724e-04],[ 0.19965577 -0.0004097 ],[ 7.79690189e-01 -2.84705881e-04],
1,1,,[ 4.98203098e-01 -3.53194959e-04],[ 0.19965577 -0.0003854 ],[ 7.79690189e-01 -3.16808740e-04],380.0
2,2,,[ 4.95769363e-01 -3.51793972e-04],[ 0.21858864 -0.0003913 ],[ 7.79690189e-01 -3.16808740e-04],397.0
3,3,,[ 4.93938038e-01 -3.51249976e-04],[ 0.21858864 -0.00038593],[ 7.79690189e-01 -3.05352833e-04],385.0
4,4,,[ 4.95834768e-01 -3.51177501e-04],[ 0.21858864 -0.00038976],[ 7.79690189e-01 -3.05352833e-04],368.0
5,5,,[ 4.94416523e-01 -3.51309347e-04],[ 0.18416523 -0.0003913 ],[ 7.79690189e-01 -3.23790333e-04],374.0
6,6,,[ 4.94839931e-01 -3.51907853e-04],[ 0.20137694 -0.0004097 ],[ 8.15834768e-01 -3.31429913e-04],379.0
7,7,,[ 4.94891566e-01 -3.51076600e-04],[ 0.2151463  -0.00038589],[ 8.15834768e-01 -2.84705881e-04],372.0
8,8,,[ 4.94392427e-01 -3.51564231e-04],[ 0.2151463  -0.00037761],[ 7.81411360e-01 -3.20950598e-04],363.0
9,9,,[ 4.98643718e-01 -3.51246735e-04],[ 0.2151463 -0.0004097],[ 7.83132530e-01 -3.23790333e-04],376.0
10,10,,[ 4.97524957e-01 -3.51438770e-04],[ 0.19621343 -0.0004097 ],[ 7.83132530e-01 -2.84705881e-04],389.0
11,11,,[ 4.97872633e-01 -3.51602574e-04],[ 0.19621343 -0.00038976],[ 8.10671256e-01 -2.84705881e-04],394.0
12,12,,[ 4.97421687e-01 -3.51897131e-04],[ 0.19621343 -0.00038976],[ 8.10671256e-01 -3.20950598e-04],378.0
13,13,,[ 4.97407917e-01 -3.51387516e-04],[ 0.19621343 -0.00038697],[ 8.15834768e-01 -2.84705881e-04],371.0
14,14,,[ 5.03153184e-01 -3.51066834e-04],[ 0.19621343 -0.0004097 ],[ 8.15834768e-01 -2.84705881e-04],399.0
15,15,,[ 5.00691910e-01 -3.50998486e-04],[ 0.19621343 -0.00038914],[ 8.15834768e-01 -2.84705881e-04],391.0
16,16,,[ 5.00354561e-01 -3.51459452e-04],[ 0.2151463  -0.00038597],[ 8.15834768e-01 -2.84705881e-04],378.0
17,17,,[ 4.97965577e-01 -3.51363621e-04],[ 0.2151463  -0.00038778],[ 7.88296041e-01 -3.20950598e-04],358.0
18,18,,[ 5.01177281e-01 -3.51802048e-04],[ 0.2151463  -0.00038976],[ 7.88296041e-01 -3.20950598e-04],360.0
19,19,,[ 4.95580034e-01 -3.51654161e-04],[ 0.2151463  -0.00038976],[ 7.88296041e-01 -3.16808740e-04],373.0
