,gen,nevals
0,1,500
1,2,390
2,3,402
3,4,368
4,5,384
5,6,371
6,7,360
7,8,377
8,9,369
9,10,404
10,11,380
11,12,367
12,13,381
13,14,386
14,15,378
15,16,379
16,17,380
17,18,396
18,19,361
19,20,387
20,21,391
21,22,396
22,23,385
23,24,388
24,25,374
25,26,381
26,27,369
27,28,373
28,29,380
29,30,371
30,31,382
31,32,374
32,33,388
33,34,384
34,35,374
35,36,396
36,37,366
37,38,394
38,39,385
39,40,398
40,41,378
41,42,380
42,43,400
43,44,394
44,45,382
45,46,394
46,47,386
47,48,397
48,49,391
49,50,385
