,gen,evals,avg,min,max,nevals
0,0,500.0,[ 0.48526257 -0.12007695],[ 0.07284787 -0.12082631],[ 0.94300787 -0.11978197],
1,1,,[ 0.49194969 -0.12021632],[ 0.06492481 -0.12082339],[ 0.93862757 -0.11979668],388.0
2,2,,[ 0.4956325  -0.12024809],[ 0.06492481 -0.12080032],[ 0.93862757 -0.11978197],361.0
3,3,,[ 0.48766592 -0.12024326],[ 0.06547355 -0.12082631],[ 0.92737355 -0.11980088],389.0
4,4,,[ 0.49578786 -0.1202418 ],[ 0.07284787 -0.12075262],[ 0.92737355 -0.11981984],379.0
5,5,,[ 0.49600526 -0.12024953],[ 0.09447022 -0.12082631],[ 0.92737355 -0.11981018],361.0
6,6,,[ 0.49126201 -0.12023085],[ 0.07284787 -0.12070085],[ 0.92737355 -0.11980228],376.0
7,7,,[ 0.48645894 -0.12024232],[ 0.06181528 -0.1207804 ],[ 0.92737355 -0.11981082],365.0
8,8,,[ 0.48527841 -0.1202477 ],[ 0.04019293 -0.12082178],[ 0.92737355 -0.11981338],381.0
9,9,,[ 0.48333429 -0.12023917],[ 0.04019293 -0.12082716],[ 0.92737355 -0.11980228],382.0
10,10,,[ 0.48529278 -0.12024783],[ 0.04019293 -0.12078518],[ 0.92737355 -0.11981018],372.0
11,11,,[ 0.48908645 -0.12024606],[ 0.06547355 -0.1207653 ],[ 0.92737355 -0.11979648],378.0
12,12,,[ 0.48786878 -0.1202459 ],[ 0.02805322 -0.1207653 ],[ 0.92737355 -0.11978197],382.0
13,13,,[ 0.48724433 -0.12024504],[ 0.02805322 -0.12081045],[ 0.93131101 -0.11980228],390.0
14,14,,[ 0.48828044 -0.12022625],[ 0.06547355 -0.1207653 ],[ 0.93291873 -0.11981018],403.0
15,15,,[ 0.4876506 -0.1202513],[ 0.06547355 -0.12081045],[ 0.92737355 -0.11981063],393.0
16,16,,[ 0.48854616 -0.12025469],[ 0.06547355 -0.12082631],[ 0.94921732 -0.11981063],364.0
17,17,,[ 0.49123511 -0.12024549],[ 0.06547355 -0.12082716],[ 0.92488014 -0.11980088],386.0
18,18,,[ 0.49157241 -0.12024731],[ 0.07146158 -0.12082339],[ 0.93591274 -0.11978197],407.0
19,19,,[ 0.48753265 -0.1202503 ],[ 0.05355527 -0.12079783],[ 0.93591274 -0.11978197],376.0
20,20,,[ 0.48631921 -0.12024667],[ 0.05355527 -0.12078117],[ 0.94073589 -0.11979668],377.0
