,gen,evals,avg,min,max,nevals
0,0,500.0,[ 0.52797778 -0.26000879],[ 0.24001158 -0.26819968],[ 0.79675738 -0.25208114],
1,1,,[ 0.53345136 -0.25799706],[ 0.22796034 -0.26819968],[ 0.80406775 -0.25412477],361.0
2,2,,[ 0.53954907 -0.25759373],[ 0.24214679 -0.26822423],[ 0.80406775 -0.25215801],389.0
3,3,,[ 0.54209981 -0.25742619],[ 0.2413868  -0.26764668],[ 0.80406775 -0.25215801],400.0
4,4,,[ 0.54608801 -0.25757358],[ 0.27504343 -0.26819968],[ 0.82404459 -0.25414389],373.0
5,5,,[ 0.55066618 -0.25753451],[ 0.27504343 -0.26764668],[ 0.82404459 -0.25429499],378.0
6,6,,[ 0.55176672 -0.25759448],[ 0.2848509  -0.26764668],[ 0.8272293  -0.25414389],355.0
7,7,,[ 0.55205725 -0.25754307],[ 0.29295744 -0.26764668],[ 0.8272293  -0.25208114],381.0
8,8,,[ 0.55129603 -0.2575324 ],[ 0.27804719 -0.26764668],[ 0.81492472 -0.25208114],374.0
9,9,,[ 0.55517038 -0.25754224],[ 0.20917776 -0.26677706],[ 0.81492472 -0.25468495],367.0
10,10,,[ 0.55336711 -0.25748918],[ 0.20917776 -0.26740511],[ 0.79675738 -0.25475019],380.0
11,11,,[ 0.55845976 -0.2575675 ],[ 0.20917776 -0.2667331 ],[ 0.80631152 -0.25424945],385.0
12,12,,[ 0.55867436 -0.25738242],[ 0.20917776 -0.26630907],[ 0.81199334 -0.25420445],382.0
13,13,,[ 0.56059279 -0.25756931],[ 0.24489722 -0.26710998],[ 0.80906196 -0.25417041],380.0
14,14,,[ 0.56327729 -0.25742313],[ 0.2787348  -0.26822423],[ 0.80906196 -0.25208114],377.0
15,15,,[ 0.56726317 -0.25749893],[ 0.20479878 -0.26822423],[ 0.80906196 -0.25418208],389.0
16,16,,[ 0.56632962 -0.25759258],[ 0.30681818 -0.26819968],[ 0.80906196 -0.25418208],381.0
17,17,,[ 0.56455428 -0.25767495],[ 0.30681818 -0.26819968],[ 0.81879705 -0.25215801],398.0
18,18,,[ 0.56770766 -0.25743188],[ 0.28803561 -0.26819968],[ 0.81561233 -0.2541837 ],383.0
19,19,,[ 0.56613759 -0.25751278],[ 0.20212073 -0.26764668],[ 0.81561233 -0.2541837 ],379.0
20,20,,[ 0.56537898 -0.25743519],[ 0.15684713 -0.26822423],[ 0.81561233 -0.25429499],379.0
21,21,,[ 0.56273089 -0.25741509],[ 0.15684713 -0.26677706],[ 0.81561233 -0.25215801],356.0
22,22,,[ 0.56252714 -0.25750288],[ 0.2456934  -0.26747731],[ 0.81561233 -0.25420445],354.0
23,23,,[ 0.56239498 -0.25764239],[ 0.2475029  -0.26747731],[ 0.82447887 -0.25412477],388.0
