,gen,evals,avg,min,max,nevals
0,0,500.0,[0.22985209 0.75125749],[0. 0.],[1. 1.],
1,1,,[0.24005788 0.75465868],[0. 0.],[1. 1.],356.0
2,2,,[0.26781994 0.73528144],[0. 0.],[1. 1.],387.0
3,3,,[0.26452733 0.72590419],[0. 0.],[1. 1.],363.0
4,4,,[0.28333762 0.71097006],[0. 0.],[1. 1.],382.0
5,5,,[0.28619936 0.70502994],[0. 0.],[1. 1.],404.0
6,6,,[0.2853955  0.70482635],[0. 0.],[1. 1.],386.0
7,7,,[0.28494534 0.70526946],[0. 0.],[1. 1.],368.0
8,8,,[0.29267524 0.69402395],[0. 0.],[1. 1.],379.0
9,9,,[0.2878135  0.69389222],[0. 0.],[1. 1.],377.0
10,10,,[0.28863023 0.69809581],[0. 0.],[1. 1.],366.0
11,11,,[0.32063023 0.67776048],[0. 0.],[1. 1.],376.0
12,12,,[0.31432797 0.67935329],[0. 0.],[1. 1.],407.0
13,13,,[0.31661093 0.67330539],[0. 0.],[1. 1.],384.0
14,14,,[0.32043087 0.65948503],[0. 0.],[1. 1.],361.0
15,15,,[0.33600643 0.65861078],[0. 0.],[1. 1.],359.0
16,16,,[0.32834727 0.6617006 ],[0. 0.],[1. 1.],368.0
17,17,,[0.32423151 0.65082635],[0. 0.],[1. 1.],386.0
18,18,,[0.32228296 0.65295808],[0. 0.],[1. 1.],384.0
19,19,,[0.32673955 0.65922156],[0. 0.],[1. 1.],374.0
20,20,,[0.32708682 0.65852695],[0. 0.],[1. 1.],372.0
21,21,,[0.3318135  0.65724551],[0. 0.],[1. 1.],360.0
22,22,,[0.32398714 0.66031138],[0. 0.],[1. 1.],364.0
23,23,,[0.32135048 0.66317365],[0. 0.],[1. 1.],373.0
24,24,,[0.32641801 0.65917365],[0. 0.],[1. 1.],365.0
25,25,,[0.32968489 0.6537006 ],[0. 0.],[1. 1.],366.0
26,26,,[0.3304373  0.65856287],[0. 0.],[1. 1.],385.0
27,27,,[0.33313183 0.66816766],[0. 0.],[1. 1.],387.0
28,28,,[0.33128617 0.65972455],[0. 0.],[1. 1.],402.0
29,29,,[0.34040514 0.65279042],[0. 0.],[1. 1.],391.0
30,30,,[0.34440514 0.6551976 ],[0. 0.],[1. 1.],370.0
31,31,,[0.33548553 0.66777246],[0. 0.],[1. 1.],349.0
32,32,,[0.33956913 0.66534132],[0. 0.],[1. 1.],377.0
33,33,,[0.33508039 0.66473054],[0. 0.],[1. 1.],382.0
34,34,,[0.33886817 0.66498204],[0. 0.],[1. 1.],390.0
35,35,,[0.33302894 0.67135329],[0. 0.],[1. 1.],364.0
36,36,,[0.33457878 0.6640479 ],[0. 0.],[1. 1.],395.0
37,37,,[0.34527331 0.65324551],[0. 0.],[1. 1.],366.0
38,38,,[0.35156913 0.65009581],[0. 0.],[1. 1.],385.0
39,39,,[0.35806431 0.64517365],[0. 0.],[1. 1.],366.0
40,40,,[0.35836656 0.64196407],[0. 0.],[1. 1.],396.0
41,41,,[0.35627653 0.64328144],[0. 0.],[1. 1.],367.0
42,42,,[0.35811576 0.64958084],[0. 0.],[1. 1.],388.0
43,43,,[0.35838585 0.64728144],[0. 0.],[1. 1.],378.0
44,44,,[0.34689389 0.66552096],[0. 0.],[1. 1.],372.0
45,45,,[0.33864309 0.6748503 ],[0. 0.],[1. 1.],391.0
46,46,,[0.33373633 0.66422754],[0. 0.],[1. 1.],391.0
47,47,,[0.31875884 0.67452695],[0. 0.],[1. 1.],354.0
48,48,,[0.32291318 0.67643114],[0. 0.],[1. 1.],380.0
49,49,,[0.3251254  0.67113772],[0. 0.],[1. 1.],344.0
50,50,,[0.33723473 0.67111377],[0. 0.],[1. 1.],384.0
