,gen,evals,avg,min,max,nevals
0,0,500.0,[0.25291639 0.74353901],[0. 0.],[1. 1.],
1,1,,[0.25810033 0.7374539 ],[0. 0.],[1. 1.],370.0
2,2,,[0.27850167 0.71477305],[0. 0.],[1. 1.],384.0
3,3,,[0.27197993 0.72258865],[0. 0.],[1. 1.],378.0
4,4,,[0.27458194 0.71792908],[0. 0.],[1. 1.],381.0
5,5,,[0.27639465 0.71715603],[0. 0.],[1. 1.],370.0
6,6,,[0.28342475 0.71202837],[0. 0.],[1. 1.],377.0
7,7,,[0.29649498 0.69928369],[0. 0.],[1. 1.],391.0
8,8,,[0.2952107  0.69038298],[0. 0.],[1. 1.],352.0
9,9,,[0.30901672 0.69273759],[0. 0.],[1. 1.],361.0
10,10,,[0.29793311 0.70798582],[0. 0.],[1. 1.],372.0
11,11,,[0.29766555 0.70492908],[0. 0.],[1. 1.],372.0
12,12,,[0.3140602  0.70704965],[0. 0.],[1. 1.],385.0
13,13,,[0.30323746 0.71078723],[0. 0.],[1. 1.],394.0
14,14,,[0.31081605 0.69751773],[0. 0.],[1. 1.],364.0
15,15,,[0.32280936 0.68276596],[0. 0.],[1. 1.],401.0
16,16,,[0.33008696 0.67909929],[0. 0.],[1. 1.],401.0
17,17,,[0.33362542 0.67790071],[0. 0.],[1. 1.],367.0
18,18,,[0.32828763 0.68080851],[0. 0.],[1. 1.],388.0
19,19,,[0.32365217 0.67863121],[0. 0.],[1. 1.],366.0
20,20,,[0.31870903 0.68920567],[0. 0.],[1. 1.],366.0
21,21,,[0.29645485 0.70990071],[0. 0.],[1. 1.],366.0
22,22,,[0.30161873 0.71008511],[0. 0.],[1. 1.],398.0
23,23,,[0.3035786  0.70458156],[0. 0.],[1. 1.],389.0
24,24,,[0.29723746 0.70207092],[0. 0.],[1. 1.],385.0
25,25,,[0.29356522 0.70883688],[0. 0.],[1. 1.],365.0
26,26,,[0.2933913  0.70691489],[0. 0.],[1. 1.],376.0
27,27,,[0.29322408 0.6974539 ],[0. 0.],[1. 1.],376.0
28,28,,[0.29899666 0.69812057],[0. 0.],[1. 1.],396.0
29,29,,[0.30367224 0.69869504],[0. 0.],[1. 1.],370.0
30,30,,[0.30564548 0.70360284],[0. 0.],[1. 1.],376.0
