,gen,evals,avg,min,max,nevals
0,0,500.0,[ 0.41693724 -0.31236533],[ 0.07322176 -0.33189029],[ 0.92677824 -0.29064844],
1,1,,[ 0.41792887 -0.30669912],[ 0.07322176 -0.32771127],[ 0.90585774 -0.29557377],393.0
2,2,,[ 0.43093305 -0.30573736],[ 0.08368201 -0.32895235],[ 0.91213389 -0.29557377],355.0
3,3,,[ 0.43251464 -0.30565349],[ 0.08368201 -0.32750418],[ 0.91213389 -0.29557377],384.0
4,4,,[ 0.43646862 -0.30576343],[ 0.08368201 -0.32750418],[ 0.91213389 -0.29915616],366.0
5,5,,[ 0.43358159 -0.30547022],[ 0.07740586 -0.32750418],[ 0.91213389 -0.29861759],374.0
6,6,,[ 0.43279079 -0.30556252],[ 0.07531381 -0.32612014],[ 0.91213389 -0.29915616],390.0
7,7,,[ 0.43693305 -0.30574626],[ 0.08368201 -0.32771127],[ 0.91213389 -0.29762666],370.0
8,8,,[ 0.44346025 -0.30587487],[ 0.08158996 -0.32282149],[ 0.92677824 -0.29915616],364.0
9,9,,[ 0.44593305 -0.30586113],[ 0.08158996 -0.32536036],[ 0.92677824 -0.29881611],368.0
10,10,,[ 0.44886192 -0.30585653],[ 0.07949791 -0.32957673],[ 0.91213389 -0.2970611 ],377.0
11,11,,[ 0.44988285 -0.3055485 ],[ 0.08158996 -0.32333219],[ 0.91213389 -0.29993144],378.0
12,12,,[ 0.45154812 -0.30543675],[ 0.08577406 -0.32536036],[ 0.91422594 -0.29702041],393.0
13,13,,[ 0.4587113  -0.30535118],[ 0.08577406 -0.32922474],[ 0.93514644 -0.29702041],389.0
14,14,,[ 0.45182845 -0.30551158],[ 0.05648536 -0.32560619],[ 0.91213389 -0.29824126],374.0
15,15,,[ 0.45187866 -0.30571414],[ 0.05648536 -0.32612014],[ 0.91213389 -0.3015885 ],375.0
16,16,,[ 0.45475314 -0.30524633],[ 0.07322176 -0.32536036],[ 0.91213389 -0.29732422],383.0
17,17,,[ 0.45529707 -0.3054307 ],[ 0.08577406 -0.32536036],[ 0.91213389 -0.29732422],385.0
18,18,,[ 0.45264435 -0.30563577],[ 0.08577406 -0.32774071],[ 0.94351464 -0.29732422],375.0
19,19,,[ 0.45162762 -0.3054955 ],[ 0.08577406 -0.33189029],[ 0.94351464 -0.30000508],389.0
20,20,,[ 0.45246444 -0.30562566],[ 0.08577406 -0.32895235],[ 0.91422594 -0.2970611 ],380.0
21,21,,[ 0.45411715 -0.3054452 ],[ 0.05020921 -0.32774071],[ 0.91422594 -0.30107108],400.0
22,22,,[ 0.45207113 -0.30549595],[ 0.05020921 -0.32515419],[ 0.91422594 -0.29557377],391.0
23,23,,[ 0.44725523 -0.30549657],[ 0.05020921 -0.32640536],[ 0.91422594 -0.30000508],385.0
24,24,,[ 0.4459205  -0.30565794],[ 0.08577406 -0.32333219],[ 0.91422594 -0.29915616],377.0
25,25,,[ 0.4418159  -0.30562967],[ 0.08577406 -0.32612014],[ 0.91422594 -0.29824126],365.0
26,26,,[ 0.44251046 -0.30565862],[ 0.04811715 -0.32640536],[ 0.90167364 -0.29732422],379.0
27,27,,[ 0.44305858 -0.30590606],[ 0.03974895 -0.32922474],[ 0.90167364 -0.29861759],380.0
28,28,,[ 0.43876151 -0.30559173],[ 0.03974895 -0.33189029],[ 0.92677824 -0.29562224],397.0
29,29,,[ 0.43425941 -0.305677  ],[ 0.03974895 -0.33189029],[ 0.90167364 -0.29064844],385.0
30,30,,[ 0.43741841 -0.30555837],[ 0.04811715 -0.32713438],[ 0.92468619 -0.2970611 ],373.0
31,31,,[ 0.43128033 -0.30566284],[ 0.04811715 -0.32774071],[ 0.91422594 -0.29732422],381.0
32,32,,[ 0.43310879 -0.30555781],[ 0.04811715 -0.32957673],[ 0.92050209 -0.29730077],362.0
33,33,,[ 0.44054393 -0.3054375 ],[ 0.04811715 -0.32220332],[ 0.91422594 -0.2970611 ],372.0
34,34,,[ 0.43960251 -0.30517428],[ 0.04811715 -0.32774071],[ 0.91422594 -0.29562224],368.0
35,35,,[ 0.43632636 -0.30533633],[ 0.07531381 -0.32750418],[ 0.89748954 -0.29562224],379.0
36,36,,[ 0.4363682  -0.30582693],[ 0.07531381 -0.32713438],[ 0.91841004 -0.30000508],390.0
37,37,,[ 0.43904603 -0.30569924],[ 0.08577406 -0.32713438],[ 0.91841004 -0.2970611 ],387.0
38,38,,[ 0.43687866 -0.30567878],[ 0.08577406 -0.32922474],[ 0.91841004 -0.2970611 ],366.0
39,39,,[ 0.43950209 -0.30555528],[ 0.08577406 -0.32957673],[ 0.91841004 -0.2970611 ],386.0
40,40,,[ 0.44222176 -0.30551952],[ 0.08368201 -0.32957673],[ 0.92677824 -0.2970611 ],380.0
41,41,,[ 0.44042259 -0.30562364],[ 0.05648536 -0.33189029],[ 0.92677824 -0.2970611 ],385.0
42,42,,[ 0.43883264 -0.30602934],[ 0.07322176 -0.32957673],[ 0.92050209 -0.2970611 ],377.0
43,43,,[ 0.43907531 -0.30606247],[ 0.07322176 -0.32957673],[ 0.92050209 -0.2970611 ],372.0
44,44,,[ 0.4381046  -0.30571997],[ 0.08577406 -0.32957673],[ 0.92050209 -0.29557377],374.0
45,45,,[ 0.43993724 -0.30551581],[ 0.08577406 -0.33189029],[ 0.95606695 -0.29702041],403.0
46,46,,[ 0.43772803 -0.30541274],[ 0.08158996 -0.33189029],[ 0.95606695 -0.29557377],363.0
47,47,,[ 0.43938912 -0.30542976],[ 0.08158996 -0.32640536],[ 0.95606695 -0.29064844],382.0
48,48,,[ 0.43823431 -0.30542376],[ 0.08577406 -0.32750418],[ 0.958159   -0.29064844],382.0
49,49,,[ 0.45111715 -0.30569397],[ 0.08577406 -0.33189029],[ 0.93723849 -0.29064844],401.0
50,50,,[ 0.44530544 -0.30604994],[ 0.08577406 -0.3245033 ],[ 0.93723849 -0.29064844],381.0
