,gen,evals,avg,min,max,nevals
0,0,500.0,[0.34392857 0.68326316],[0. 0.],[1. 1.],
1,1,,[0.36303571 0.66932632],[0. 0.],[1. 1.],390.0
2,2,,[0.40339286 0.63458947],[0. 0.],[1. 1.],371.0
3,3,,[0.40726786 0.6292    ],[0. 0.],[1. 1.],389.0
4,4,,[0.42119643 0.61717895],[0. 0.],[1. 1.],375.0
5,5,,[0.43646429 0.60797895],[0. 0.],[1. 1.],385.0
6,6,,[0.44757143 0.60623158],[0. 0.],[1. 1.],375.0
7,7,,[0.45503571 0.59658947],[0. 0.],[1. 1.],395.0
8,8,,[0.46553571 0.58726316],[0. 0.],[1. 1.],380.0
9,9,,[0.46148214 0.59783158],[0. 0.],[1. 1.],391.0
10,10,,[0.46367857 0.59458947],[0. 0.],[1. 1.],365.0
11,11,,[0.47380357 0.57738947],[0. 0.],[1. 1.],413.0
12,12,,[0.48080357 0.57267368],[0. 0.],[1. 1.],381.0
13,13,,[0.47844643 0.57056842],[0. 0.],[1. 1.],368.0
14,14,,[0.48575    0.55827368],[0. 0.],[1. 1.],406.0
15,15,,[0.49435714 0.56370526],[0. 0.],[1. 1.],392.0
16,16,,[0.51419643 0.54583158],[0. 0.],[1. 1.],376.0
17,17,,[0.50426786 0.55490526],[0. 0.],[1. 1.],381.0
18,18,,[0.53042857 0.52646316],[0. 0.],[1. 1.],390.0
19,19,,[0.528625   0.53107368],[0. 0.],[1. 1.],378.0
20,20,,[0.53592857 0.52722105],[0. 0.],[1. 1.],381.0
21,21,,[0.51716071 0.54442105],[0. 0.],[1. 1.],376.0
22,22,,[0.51333929 0.54785263],[0. 0.],[1. 1.],380.0
23,23,,[0.52551786 0.53926316],[0. 0.],[1. 1.],364.0
24,24,,[0.52926786 0.53703158],[0. 0.],[1. 1.],361.0
25,25,,[0.52366071 0.54111579],[0. 0.],[1. 1.],376.0
26,26,,[0.51846429 0.54717895],[0. 0.],[1. 1.],379.0
27,27,,[0.52496429 0.54094737],[0. 0.],[1. 1.],367.0
28,28,,[0.51776786 0.54913684],[0. 0.],[1. 1.],385.0
29,29,,[0.51885714 0.54383158],[0. 0.],[1. 1.],383.0
30,30,,[0.52166071 0.54092632],[0. 0.],[1. 1.],385.0
31,31,,[0.51110714 0.55442105],[0. 0.],[1. 1.],373.0
32,32,,[0.52032143 0.54677895],[0. 0.],[1. 1.],389.0
33,33,,[0.53217857 0.53307368],[0. 0.],[1. 1.],370.0
34,34,,[0.53839286 0.52522105],[0. 0.],[1. 1.],382.0
35,35,,[0.54033929 0.52656842],[0. 0.],[1. 1.],369.0
36,36,,[0.53969643 0.52861053],[0. 0.],[1. 1.],379.0
37,37,,[0.52203571 0.54168421],[0. 0.],[1. 1.],359.0
38,38,,[0.52155357 0.54606316],[0. 0.],[1. 1.],385.0
39,39,,[0.51955357 0.5428    ],[0. 0.],[1. 1.],392.0
40,40,,[0.51367857 0.54587368],[0. 0.],[1. 1.],381.0
41,41,,[0.51885714 0.54404211],[0. 0.],[1. 1.],378.0
42,42,,[0.51555357 0.54667368],[0. 0.],[1. 1.],382.0
43,43,,[0.51075    0.54370526],[0. 0.],[1. 1.],368.0
44,44,,[0.50428571 0.54913684],[0. 0.],[1. 1.],397.0
45,45,,[0.50108929 0.55682105],[0. 0.],[1. 1.],412.0
46,46,,[0.50705357 0.55351579],[0. 0.],[1. 1.],383.0
47,47,,[0.52307143 0.54250526],[0. 0.],[1. 1.],390.0
48,48,,[0.52921429 0.53496842],[0. 0.],[1. 1.],368.0
49,49,,[0.52158929 0.53938947],[0. 0.],[1. 1.],369.0
50,50,,[0.51235714 0.54505263],[0. 0.],[1. 1.],392.0
