,gen,nevals
0,1,500
1,2,383
2,3,396
3,4,390
4,5,360
5,6,366
6,7,374
7,8,386
8,9,374
9,10,408
10,11,380
11,12,376
12,13,395
13,14,398
14,15,388
15,16,389
16,17,395
17,18,397
18,19,378
19,20,392
20,21,375
21,22,380
22,23,377
23,24,398
24,25,384
25,26,398
26,27,393
27,28,389
28,29,387
29,30,370
30,31,388
31,32,383
32,33,372
33,34,370
34,35,372
35,36,391
36,37,385
37,38,378
38,39,397
39,40,365
40,41,384
41,42,376
42,43,361
43,44,381
44,45,401
45,46,395
46,47,372
47,48,368
48,49,364
49,50,362
