,gen,evals,avg,min,max,nevals
0,0,500.0,[ 0.49969707 -0.31642434],[ 0.20998279 -0.33244737],[ 0.79001721 -0.30199223],
1,1,,[ 0.50383477 -0.32249707],[ 0.21342513 -0.33173728],[ 0.79001721 -0.3051283 ],372.0
2,2,,[ 0.49902238 -0.32328635],[ 0.22030981 -0.3287268 ],[ 0.79001721 -0.30434019],390.0
3,3,,[ 0.4965852  -0.32388972],[ 0.20998279 -0.32908899],[ 0.79001721 -0.30468798],382.0
4,4,,[ 0.49741136 -0.32411436],[ 0.20998279 -0.33244737],[ 0.79001721 -0.30468798],387.0
5,5,,[ 0.49781411 -0.32414562],[ 0.20998279 -0.32724736],[ 0.79001721 -0.30370776],366.0
6,6,,[ 0.49864372 -0.32362042],[ 0.20998279 -0.32660395],[ 0.79001721 -0.30468798],369.0
7,7,,[ 0.49984509 -0.32396771],[ 0.20998279 -0.33244737],[ 0.80378657 -0.30337028],368.0
8,8,,[ 0.50411704 -0.32423202],[ 0.20998279 -0.33173728],[ 0.80378657 -0.30370776],371.0
9,9,,[ 0.50590361 -0.32410941],[ 0.20998279 -0.3289296 ],[ 0.79173838 -0.30434019],357.0
10,10,,[ 0.50336661 -0.32404092],[ 0.20998279 -0.3289296 ],[ 0.79173838 -0.30337028],377.0
11,11,,[ 0.50404819 -0.32426224],[ 0.21170396 -0.33065474],[ 0.79001721 -0.30370776],394.0
12,12,,[ 0.50102238 -0.32369199],[ 0.21170396 -0.32633222],[ 0.79173838 -0.30413823],384.0
13,13,,[ 0.50022375 -0.32361913],[ 0.20998279 -0.32742874],[ 0.79173838 -0.30337028],381.0
14,14,,[ 0.49756282 -0.32350291],[ 0.19965577 -0.33065474],[ 0.78829604 -0.30414305],387.0
15,15,,[ 0.49761446 -0.32357879],[ 0.19965577 -0.33065474],[ 0.79001721 -0.303888  ],378.0
16,16,,[ 0.49812392 -0.3237371 ],[ 0.19965577 -0.33173728],[ 0.79001721 -0.30370776],393.0
17,17,,[ 0.49813769 -0.32388362],[ 0.19965577 -0.33173728],[ 0.79001721 -0.30370776],388.0
18,18,,[ 0.49871945 -0.3241253 ],[ 0.20481928 -0.3289296 ],[ 0.79001721 -0.3073747 ],372.0
19,19,,[ 0.49925645 -0.32436644],[ 0.20481928 -0.32860181],[ 0.79345955 -0.30568387],363.0
20,20,,[ 0.50380379 -0.32383944],[ 0.21858864 -0.33244737],[ 0.79345955 -0.30552151],375.0
21,21,,[ 0.50405852 -0.32374662],[ 0.21858864 -0.33173728],[ 0.79345955 -0.30370776],393.0
22,22,,[ 0.50290189 -0.32406379],[ 0.21858864 -0.33173728],[ 0.79345955 -0.30370776],392.0
23,23,,[ 0.49949398 -0.32370038],[ 0.21858864 -0.32789527],[ 0.79345955 -0.30525398],394.0
24,24,,[ 0.49986919 -0.32381336],[ 0.21858864 -0.33244737],[ 0.78829604 -0.303888  ],394.0
25,25,,[ 0.49906713 -0.32380824],[ 0.20998279 -0.33244737],[ 0.80895009 -0.30468798],393.0
26,26,,[ 0.49633735 -0.32390252],[ 0.20998279 -0.33244737],[ 0.80895009 -0.30568387],391.0
27,27,,[ 0.49556971 -0.32420503],[ 0.20998279 -0.3287268 ],[ 0.80895009 -0.30727822],384.0
28,28,,[ 0.49743546 -0.32367352],[ 0.20998279 -0.33043087],[ 0.80895009 -0.30337028],363.0
29,29,,[ 0.50024096 -0.32385275],[ 0.20998279 -0.32908899],[ 0.78829604 -0.30370776],398.0
30,30,,[ 0.49901549 -0.32376168],[ 0.20998279 -0.33065474],[ 0.78829604 -0.30413823],349.0
31,31,,[ 0.49757315 -0.32385635],[ 0.20998279 -0.33065474],[ 0.79001721 -0.30199223],377.0
32,32,,[ 0.49745611 -0.32399863],[ 0.20998279 -0.32908899],[ 0.79001721 -0.30596673],379.0
33,33,,[ 0.49227883 -0.32429226],[ 0.20998279 -0.32959853],[ 0.79001721 -0.30370776],388.0
34,34,,[ 0.48985198 -0.3239141 ],[ 0.20998279 -0.32959853],[ 0.78657487 -0.30414305],376.0
35,35,,[ 0.48681928 -0.32370565],[ 0.20309811 -0.32730688],[ 0.79173838 -0.30370776],392.0
36,36,,[ 0.48654733 -0.32392096],[ 0.20309811 -0.32819002],[ 0.79173838 -0.30370776],375.0
37,37,,[ 0.48461962 -0.32403241],[ 0.18244406 -0.33244737],[ 0.79173838 -0.30370776],381.0
38,38,,[ 0.48669191 -0.32400357],[ 0.18244406 -0.33244737],[ 0.79173838 -0.30416431],381.0
39,39,,[ 0.48821687 -0.32379991],[ 0.18244406 -0.33065474],[ 0.79690189 -0.30468798],377.0
