,gen,nevals
0,1,500
1,2,350
2,3,368
3,4,394
4,5,365
5,6,381
6,7,407
7,8,378
8,9,380
9,10,384
10,11,391
11,12,354
12,13,397
13,14,390
14,15,385
15,16,387
16,17,388
17,18,366
18,19,367
19,20,397
20,21,368
21,22,402
22,23,388
23,24,353
24,25,377
25,26,386
26,27,359
27,28,358
28,29,376
29,30,388
30,31,398
31,32,360
32,33,378
33,34,365
34,35,386
35,36,378
36,37,393
37,38,358
38,39,372
39,40,398
40,41,377
41,42,365
42,43,375
43,44,365
44,45,367
45,46,377
46,47,372
47,48,374
48,49,381
49,50,379
