,gen,evals,avg,min,max,nevals
0,0,500.0,[ 0.53437746 -0.26109717],[ 0.22140996 -0.27059526],[ 0.81648089 -0.25321247],
1,1,,[ 0.5420752 -0.2602986],[ 0.24033729 -0.26964462],[ 0.81648089 -0.25447673],373.0
2,2,,[ 0.54768232 -0.26006443],[ 0.28727562 -0.27043124],[ 0.81648089 -0.25483838],405.0
3,3,,[ 0.5474675  -0.26007044],[ 0.28727562 -0.26799048],[ 0.82035321 -0.25392482],383.0
4,4,,[ 0.55219043 -0.26011035],[ 0.28727562 -0.26727695],[ 0.82035321 -0.25392482],385.0
5,5,,[ 0.55661849 -0.26015666],[ 0.28191951 -0.27057665],[ 0.8171685 -0.2563565],369.0
6,6,,[ 0.55895476 -0.26020006],[ 0.27106254 -0.27043124],[ 0.8171685  -0.25483838],390.0
7,7,,[ 0.55859236 -0.26007978],[ 0.25651419 -0.27057665],[ 0.8171685  -0.25392482],369.0
8,8,,[ 0.55884619 -0.26010358],[ 0.25582658 -0.26984924],[ 0.81148668 -0.25453736],386.0
9,9,,[ 0.56155704 -0.26020267],[ 0.23027649 -0.26978718],[ 0.82104082 -0.25598887],388.0
10,10,,[ 0.56359156 -0.26012734],[ 0.26675594 -0.26952712],[ 0.82104082 -0.25447673],391.0
11,11,,[ 0.56063455 -0.26020431],[ 0.26773306 -0.27057665],[ 0.82104082 -0.25447673],371.0
12,12,,[ 0.559451   -0.26019939],[ 0.24583816 -0.26984924],[ 0.82104082 -0.25481042],376.0
13,13,,[ 0.55961914 -0.26011149],[ 0.2413868  -0.26984924],[ 0.83059496 -0.25447673],365.0
14,14,,[ 0.55989975 -0.26006239],[ 0.2787348  -0.26964462],[ 0.83059496 -0.25481042],396.0
15,15,,[ 0.55926411 -0.26006111],[ 0.28517661 -0.27059526],[ 0.82172843 -0.25453736],387.0
16,16,,[ 0.55813767 -0.26009056],[ 0.26773306 -0.26952712],[ 0.82172843 -0.25596717],368.0
17,17,,[ 0.56236233 -0.26017254],[ 0.32064273 -0.2704855 ],[ 0.77497105 -0.25447673],381.0
18,18,,[ 0.56821439 -0.26003335],[ 0.32943688 -0.27043124],[ 0.79512884 -0.25392482],388.0
19,19,,[ 0.56749139 -0.25999859],[ 0.32806167 -0.26789642],[ 0.79512884 -0.25392482],393.0
20,20,,[ 0.5655482  -0.26017744],[ 0.31427331 -0.27059526],[ 0.77895194 -0.25392482],377.0
21,21,,[ 0.56317111 -0.26004074],[ 0.28011002 -0.26978718],[ 0.77895194 -0.25392482],385.0
22,22,,[ 0.56551477 -0.26000853],[ 0.28011002 -0.26978718],[ 0.77895194 -0.25321247],392.0
23,23,,[ 0.56623784 -0.26002756],[ 0.25731036 -0.2704855 ],[ 0.78170237 -0.25321247],388.0
24,24,,[ 0.56469181 -0.26005964],[ 0.29140127 -0.26736665],[ 0.77497105 -0.25447673],377.0
25,25,,[ 0.56424739 -0.26006449],[ 0.30214968 -0.27043124],[ 0.77497105 -0.25608932],381.0
26,26,,[ 0.56361016 -0.26004229],[ 0.27667197 -0.2695562 ],[ 0.77497105 -0.25321247],388.0
27,27,,[ 0.56258671 -0.26003067],[ 0.25119427 -0.2695562 ],[ 0.80812102 -0.25321247],377.0
28,28,,[ 0.56477396 -0.26006646],[ 0.27916908 -0.27059526],[ 0.80812102 -0.25321247],378.0
29,29,,[ 0.5644455  -0.25999746],[ 0.27916908 -0.26952712],[ 0.80812102 -0.25483838],373.0
30,30,,[ 0.56387782 -0.26020893],[ 0.29027939 -0.27057665],[ 0.80812102 -0.25595347],366.0
31,31,,[ 0.56440229 -0.26006455],[ 0.26487406 -0.27059526],[ 0.80812102 -0.25514585],355.0
32,32,,[ 0.56879184 -0.26003685],[ 0.29027939 -0.27057665],[ 0.81130573 -0.25481042],390.0
33,33,,[ 0.56982955 -0.26007755],[ 0.32024464 -0.27059526],[ 0.81130573 -0.25481042],359.0
34,34,,[ 0.57088767 -0.26020713],[ 0.35191083 -0.2704855 ],[ 0.81130573 -0.2563565 ],374.0
35,35,,[ 0.56776194 -0.26005306],[ 0.3139476  -0.26788975],[ 0.81130573 -0.25321959],398.0
36,36,,[ 0.5681795  -0.26006989],[ 0.33012449 -0.2696634 ],[ 0.81130573 -0.25321959],366.0
37,37,,[ 0.56855624 -0.26005356],[ 0.36439635 -0.26789393],[ 0.81130573 -0.25321959],395.0
38,38,,[ 0.56560162 -0.26007132],[ 0.34253764 -0.26798765],[ 0.81130573 -0.25321247],378.0
39,39,,[ 0.56538759 -0.26010568],[ 0.31007528 -0.26984924],[ 0.81130573 -0.2540447 ],383.0
40,40,,[ 0.5645828  -0.26002167],[ 0.32274175 -0.26964462],[ 0.78065287 -0.25321959],377.0
41,41,,[ 0.56410604 -0.26004834],[ 0.24887811 -0.26790754],[ 0.78065287 -0.2540447 ],393.0
42,42,,[ 0.55778597 -0.26014373],[ 0.24887811 -0.27059526],[ 0.7852128  -0.25447673],394.0
43,43,,[ 0.55885698 -0.26012979],[ 0.32386364 -0.2704855 ],[ 0.78065287 -0.25453736],371.0
44,44,,[ 0.5592563  -0.26010714],[ 0.27341488 -0.27059526],[ 0.78065287 -0.25321247],380.0
45,45,,[ 0.56235061 -0.26027072],[ 0.27341488 -0.27059526],[ 0.78065287 -0.25321247],387.0
46,46,,[ 0.56345339 -0.26019078],[ 0.2475029  -0.27057665],[ 0.78065287 -0.25392482],397.0
47,47,,[ 0.56266865 -0.26018348],[ 0.29433266 -0.2704855 ],[ 0.78065287 -0.25481042],385.0
48,48,,[ 0.56130088 -0.26014739],[ 0.27486248 -0.2704855 ],[ 0.78452519 -0.25392482],369.0
49,49,,[ 0.56101672 -0.26027583],[ 0.25962652 -0.27057665],[ 0.79588882 -0.25608932],392.0
50,50,,[ 0.56149877 -0.26015665],[ 0.25962652 -0.27057665],[ 0.79588882 -0.25670088],397.0
