,gen,evals,avg,min,max,nevals
0,0,500.0,[0.29755357 0.724     ],[0. 0.],[1. 1.],
1,1,,[0.32246429 0.7052    ],[0. 0.],[1. 1.],376.0
2,2,,[0.34233929 0.69273684],[0. 0.],[1. 1.],369.0
3,3,,[0.35841071 0.68023158],[0. 0.],[1. 1.],373.0
4,4,,[0.36891071 0.67751579],[0. 0.],[1. 1.],379.0
5,5,,[0.39442857 0.65701053],[0. 0.],[1. 1.],376.0
6,6,,[0.39910714 0.65585263],[0. 0.],[1. 1.],388.0
7,7,,[0.41771429 0.63667368],[0. 0.],[1. 1.],388.0
8,8,,[0.42630357 0.63530526],[0. 0.],[1. 1.],371.0
9,9,,[0.43558929 0.62494737],[0. 0.],[1. 1.],367.0
10,10,,[0.43919643 0.62214737],[0. 0.],[1. 1.],386.0
11,11,,[0.44060714 0.62412632],[0. 0.],[1. 1.],374.0
12,12,,[0.44723214 0.61829474],[0. 0.],[1. 1.],386.0
13,13,,[0.44676786 0.62410526],[0. 0.],[1. 1.],388.0
14,14,,[0.448375   0.61831579],[0. 0.],[1. 1.],376.0
15,15,,[0.44466071 0.61903158],[0. 0.],[1. 1.],376.0
16,16,,[0.46010714 0.61317895],[0. 0.],[1. 1.],370.0
17,17,,[0.468375   0.60901053],[0. 0.],[1. 1.],376.0
18,18,,[0.46925    0.61591579],[0. 0.],[1. 1.],403.0
19,19,,[0.47883929 0.60774737],[0. 0.],[1. 1.],375.0
20,20,,[0.47053571 0.61585263],[0. 0.],[1. 1.],385.0
21,21,,[0.47303571 0.61073684],[0. 0.],[1. 1.],408.0
22,22,,[0.47591071 0.60981053],[0. 0.],[1. 1.],385.0
23,23,,[0.4765     0.60549474],[0. 0.],[1. 1.],388.0
24,24,,[0.47789286 0.60208421],[0. 0.],[1. 1.],379.0
25,25,,[0.48678571 0.60442105],[0. 0.],[1. 1.],378.0
26,26,,[0.47460714 0.61157895],[0. 0.],[1. 1.],382.0
27,27,,[0.48625    0.59755789],[0. 0.],[1. 1.],371.0
28,28,,[0.49548214 0.58568421],[0. 0.],[1. 1.],372.0
29,29,,[0.49083929 0.59130526],[0. 0.],[1. 1.],382.0
30,30,,[0.48676786 0.59635789],[0. 0.],[1. 1.],383.0
31,31,,[0.48017857 0.60298947],[0. 0.],[1. 1.],377.0
32,32,,[0.48082143 0.60734737],[0. 0.],[1. 1.],381.0
33,33,,[0.48748214 0.60336842],[0. 0.],[1. 1.],405.0
34,34,,[0.48841071 0.60370526],[0. 0.],[1. 1.],377.0
35,35,,[0.49075    0.59776842],[0. 0.],[1. 1.],384.0
36,36,,[0.49378571 0.59515789],[0. 0.],[1. 1.],375.0
37,37,,[0.46767857 0.61572632],[0. 0.],[1. 1.],384.0
38,38,,[0.47258929 0.60730526],[0. 0.],[1. 1.],382.0
39,39,,[0.470625   0.60850526],[0. 0.],[1. 1.],392.0
40,40,,[0.47619643 0.60282105],[0. 0.],[1. 1.],384.0
41,41,,[0.47514286 0.59976842],[0. 0.],[1. 1.],395.0
42,42,,[0.47210714 0.60793684],[0. 0.],[1. 1.],390.0
43,43,,[0.48480357 0.59831579],[0. 0.],[1. 1.],384.0
44,44,,[0.48739286 0.59242105],[0. 0.],[1. 1.],374.0
45,45,,[0.49505357 0.58307368],[0. 0.],[1. 1.],382.0
46,46,,[0.46832143 0.60168421],[0. 0.],[1. 1.],393.0
47,47,,[0.47403571 0.59576842],[0. 0.],[1. 1.],372.0
48,48,,[0.480625   0.58612632],[0. 0.],[1. 1.],364.0
49,49,,[0.47648214 0.58873684],[0. 0.],[1. 1.],382.0
50,50,,[0.47326786 0.58995789],[0. 0.],[1. 1.],383.0
