,gen,nevals
0,1,500
1,2,377
2,3,370
3,4,379
4,5,389
5,6,366
6,7,372
7,8,374
8,9,358
9,10,388
10,11,381
11,12,387
12,13,386
13,14,374
14,15,363
15,16,362
16,17,364
17,18,385
18,19,391
19,20,377
20,21,385
21,22,372
22,23,383
23,24,385
24,25,379
25,26,399
26,27,392
27,28,384
28,29,359
29,30,379
30,31,372
31,32,392
32,33,374
33,34,382
34,35,394
35,36,374
36,37,360
37,38,400
38,39,389
39,40,378
40,41,361
41,42,368
42,43,373
43,44,385
44,45,374
45,46,363
46,47,379
47,48,379
48,49,373
49,50,353
