,gen,evals,avg,min,max,nevals
0,0,500.0,[ 0.48642685 -0.00064242],[ 0.20826162 -0.00068085],[ 8.15834768e-01 -5.99258549e-04],
1,1,,[ 0.48877108 -0.00063368],[ 0.22030981 -0.0006782 ],[ 8.15834768e-01 -6.00858498e-04],375.0
2,2,,[ 0.48963167 -0.00063212],[ 0.22030981 -0.0006782 ],[ 8.15834768e-01 -6.01398740e-04],351.0
3,3,,[ 0.48974527 -0.00063107],[ 0.20309811 -0.00067222],[ 8.17555938e-01 -6.09440039e-04],386.0
4,4,,[ 0.48978657 -0.00063094],[ 0.20309811 -0.00066815],[ 8.15834768e-01 -6.14135991e-04],375.0
5,5,,[ 0.48795181 -0.00063094],[ 0.21342513 -0.00067273],[ 8.15834768e-01 -6.00858498e-04],366.0
6,6,,[ 0.48702238 -0.00063086],[ 0.21342513 -0.0006782 ],[ 8.15834768e-01 -6.00858498e-04],370.0
7,7,,[ 0.48774182 -0.00063066],[ 0.21342513 -0.00066321],[ 8.15834768e-01 -6.09440039e-04],374.0
8,8,,[ 0.48710155 -0.00063081],[ 0.21342513 -0.00067273],[ 8.15834768e-01 -6.16837203e-04],396.0
9,9,,[ 0.48843373 -0.00063093],[ 0.22375215 -0.00067273],[ 8.15834768e-01 -6.11178511e-04],378.0
10,10,,[ 0.48979002 -0.00063105],[ 0.22030981 -0.00067401],[ 8.15834768e-01 -5.99258549e-04],375.0
11,11,,[ 0.49200344 -0.00063085],[ 0.18416523 -0.00067401],[ 8.15834768e-01 -5.99258549e-04],392.0
12,12,,[ 0.49464716 -0.00063117],[ 0.18416523 -0.00066806],[ 8.15834768e-01 -6.09440039e-04],371.0
13,13,,[ 0.49946299 -0.00063071],[ 0.21342513 -0.0006764 ],[ 8.15834768e-01 -6.16816424e-04],375.0
14,14,,[ 0.50102238 -0.00063039],[ 0.21342513 -0.00066815],[ 8.15834768e-01 -6.11365518e-04],389.0
15,15,,[ 0.50071256 -0.00063071],[ 0.21686747 -0.00066815],[ 8.15834768e-01 -6.01398740e-04],396.0
16,16,,[ 0.50154561 -0.00063099],[ 0.21686747 -0.00066815],[ 8.15834768e-01 -5.99258549e-04],374.0
17,17,,[ 0.50102926 -0.00063118],[ 0.21686747 -0.00066798],[ 7.83132530e-01 -5.99258549e-04],383.0
18,18,,[ 0.50127022 -0.00063096],[ 0.21686747 -0.00066815],[ 7.74526678e-01 -6.19725421e-04],383.0
19,19,,[ 0.49753873 -0.00063143],[ 0.21686747 -0.00067401],[ 7.74526678e-01 -6.20882094e-04],396.0
20,20,,[ 0.49747332 -0.00063173],[ 0.21686747 -0.00066803],[ 7.88296041e-01 -6.01398740e-04],366.0
21,21,,[ 0.49356282 -0.00063128],[ 0.19104991 -0.00066798],[ 7.88296041e-01 -6.01398740e-04],340.0
22,22,,[ 0.49379002 -0.00063091],[ 0.19104991 -0.0006782 ],[ 7.86574871e-01 -5.99258549e-04],379.0
23,23,,[ 0.49186575 -0.00063096],[ 0.19104991 -0.00066723],[ 7.84853701e-01 -5.99258549e-04],375.0
24,24,,[ 0.48751119 -0.00063123],[ 0.18244406 -0.00067908],[ 7.74526678e-01 -6.09440039e-04],381.0
25,25,,[ 0.48933563 -0.00063138],[ 0.18244406 -0.00067068],[ 7.74526678e-01 -6.16816424e-04],384.0
26,26,,[ 0.48763167 -0.000631  ],[ 0.18244406 -0.0006764 ],[ 7.91738382e-01 -6.01398740e-04],383.0
27,27,,[ 0.48948365 -0.00063086],[ 0.18244406 -0.0006764 ],[ 7.74526678e-01 -5.99258549e-04],383.0
28,28,,[ 0.48772461 -0.00063101],[ 0.18244406 -0.00068085],[ 7.74526678e-01 -6.14925576e-04],412.0
29,29,,[ 0.49023408 -0.00063059],[ 0.21686747 -0.00067273],[ 7.74526678e-01 -6.11178511e-04],375.0
30,30,,[ 0.48847504 -0.00063105],[ 0.22547332 -0.00067399],[ 7.74526678e-01 -6.01398740e-04],374.0
31,31,,[ 0.48593115 -0.00063118],[ 0.18932874 -0.00068066],[ 7.74526678e-01 -6.00858498e-04],378.0
32,32,,[ 0.48471601 -0.00063193],[ 0.18932874 -0.00068066],[ 7.74526678e-01 -6.00858498e-04],358.0
33,33,,[ 0.48694664 -0.00063106],[ 0.22547332 -0.00068066],[ 7.74526678e-01 -6.09440039e-04],378.0
34,34,,[ 0.48672978 -0.00063122],[ 0.21686747 -0.00067908],[ 8.14113597e-01 -6.09440039e-04],386.0
35,35,,[ 0.4882685  -0.00063083],[ 0.22547332 -0.00066815],[ 8.14113597e-01 -6.11178511e-04],399.0
36,36,,[ 0.48633046 -0.00063096],[ 0.22547332 -0.0006782 ],[ 7.93459552e-01 -6.20681234e-04],399.0
37,37,,[ 0.49338382 -0.00063104],[ 0.22547332 -0.00066815],[ 7.93459552e-01 -6.11178511e-04],384.0
38,38,,[ 0.49799656 -0.0006314 ],[ 0.22030981 -0.00068066],[ 8.02065404e-01 -6.14135991e-04],392.0
39,39,,[ 0.50054733 -0.00063133],[ 0.22030981 -0.0006764 ],[ 8.02065404e-01 -5.99258549e-04],373.0
40,40,,[ 0.49953184 -0.00063125],[ 0.22030981 -0.0006782 ],[ 8.02065404e-01 -6.00858498e-04],389.0
41,41,,[ 0.49850947 -0.00063072],[ 0.22547332 -0.00066798],[ 8.02065404e-01 -6.14925576e-04],389.0
42,42,,[ 0.49430637 -0.00063087],[ 0.22030981 -0.00067273],[ 8.02065404e-01 -6.14925576e-04],381.0
43,43,,[ 0.49740792 -0.00063166],[ 0.21858864 -0.00067908],[ 8.03786575e-01 -6.11178511e-04],388.0
44,44,,[ 0.49385542 -0.00063088],[ 0.21858864 -0.00067908],[ 8.03786575e-01 -6.09440039e-04],384.0
45,45,,[ 0.49350086 -0.00063078],[ 0.21858864 -0.00066569],[ 7.91738382e-01 -6.00858498e-04],368.0
46,46,,[ 0.49108434 -0.00063145],[ 0.21858864 -0.00066723],[ 7.81411360e-01 -6.20702013e-04],374.0
47,47,,[ 0.49086059 -0.00063112],[ 0.21170396 -0.00067399],[ 7.81411360e-01 -6.11365518e-04],369.0
48,48,,[ 0.49046472 -0.00063157],[ 0.21858864 -0.0006782 ],[ 7.81411360e-01 -6.00858498e-04],374.0
49,49,,[ 0.48660585 -0.00063105],[ 0.21342513 -0.00067401],[ 7.76247849e-01 -6.00858498e-04],364.0
50,50,,[ 0.48670568 -0.00063053],[ 0.21342513 -0.00066798],[ 8.02065404e-01 -5.99258549e-04],385.0
