,training,seed,time,full_acc,full_tpr,full_tnr
0,True,0,125.93056082725525,0.8599033816425121,0.8631578947368421,0.8571428571428571
1,False,0,125.93056082725525,0.7444444444444445,0.8333333333333334,0.6666666666666666
2,True,169,288.3741309642792,0.893719806763285,0.8631578947368421,0.9196428571428571
3,False,169,288.3741309642792,0.7888888888888889,0.6428571428571429,0.9166666666666666
4,True,338,172.87985587120056,0.8792270531400966,0.8526315789473684,0.9017857142857143
5,False,338,172.87985587120056,0.7222222222222222,0.6666666666666666,0.7708333333333334
6,True,507,125.04304003715515,0.8840579710144928,0.8947368421052632,0.875
7,False,507,125.04304003715515,0.7444444444444445,0.7380952380952381,0.75
8,True,676,178.35654306411743,0.8357487922705314,0.8,0.8660714285714286
9,False,676,178.35654306411743,0.8333333333333334,0.8571428571428571,0.8125
10,True,845,144.6058509349823,0.8840579710144928,0.7894736842105263,0.9642857142857143
11,False,845,144.6058509349823,0.7666666666666667,0.6666666666666666,0.8541666666666666
12,True,1014,100.94083786010742,0.8743961352657005,0.8421052631578947,0.9017857142857143
13,False,1014,100.94083786010742,0.7666666666666667,0.7619047619047619,0.7708333333333334
14,True,1183,262.5936257839203,0.8454106280193237,0.7473684210526316,0.9285714285714286
15,False,1183,262.5936257839203,0.7333333333333333,0.7380952380952381,0.7291666666666666
16,True,1352,235.1504020690918,0.8647342995169082,0.8631578947368421,0.8660714285714286
17,False,1352,235.1504020690918,0.8444444444444444,0.8333333333333334,0.8541666666666666
18,True,1521,112.96808290481567,0.8743961352657005,0.8421052631578947,0.9017857142857143
19,False,1521,112.96808290481567,0.7444444444444445,0.7380952380952381,0.75
20,True,1690,94.99559688568115,0.8599033816425121,0.8736842105263158,0.8482142857142857
21,False,1690,94.99559688568115,0.7888888888888889,0.7857142857142857,0.7916666666666666
22,True,1859,247.91681504249573,0.8309178743961353,0.7263157894736842,0.9196428571428571
23,False,1859,247.91681504249573,0.7222222222222222,0.5476190476190477,0.875
24,True,2028,361.7112469673157,0.8454106280193237,0.7684210526315789,0.9107142857142857
25,False,2028,361.7112469673157,0.8,0.7380952380952381,0.8541666666666666
26,True,2197,256.36521196365356,0.8357487922705314,0.7578947368421053,0.9017857142857143
27,False,2197,256.36521196365356,0.7555555555555555,0.6428571428571429,0.8541666666666666
28,True,2366,291.8221700191498,0.8405797101449275,0.7368421052631579,0.9285714285714286
29,False,2366,291.8221700191498,0.7111111111111111,0.47619047619047616,0.9166666666666666
30,True,2535,653.5456757545471,0.7777777777777778,0.6105263157894737,0.9196428571428571
31,False,2535,653.5456757545471,0.8444444444444444,0.7857142857142857,0.8958333333333334
32,True,2704,134.46028113365173,0.855072463768116,0.8105263157894737,0.8928571428571429
33,False,2704,134.46028113365173,0.8333333333333334,0.8095238095238095,0.8541666666666666
34,True,2873,129.26158618927002,0.8454106280193237,0.8210526315789474,0.8660714285714286
35,False,2873,129.26158618927002,0.7222222222222222,0.7619047619047619,0.6875
36,True,3042,143.1876311302185,0.8309178743961353,0.7157894736842105,0.9285714285714286
37,False,3042,143.1876311302185,0.8111111111111111,0.6190476190476191,0.9791666666666666
38,True,3211,257.2334351539612,0.8647342995169082,0.8105263157894737,0.9107142857142857
39,False,3211,257.2334351539612,0.8,0.6428571428571429,0.9375
40,True,3380,128.71729516983032,0.7874396135265701,0.7052631578947368,0.8571428571428571
41,False,3380,128.71729516983032,0.7777777777777778,0.6666666666666666,0.875
42,True,3549,156.25741004943848,0.8647342995169082,0.8315789473684211,0.8928571428571429
43,False,3549,156.25741004943848,0.7555555555555555,0.8095238095238095,0.7083333333333334
44,True,3718,206.2884030342102,0.8695652173913043,0.9263157894736842,0.8214285714285714
45,False,3718,206.2884030342102,0.7555555555555555,0.8095238095238095,0.7083333333333334
46,True,3887,109.59685611724854,0.8695652173913043,0.8631578947368421,0.875
47,False,3887,109.59685611724854,0.9,0.9047619047619048,0.8958333333333334
48,True,4056,107.29013800621033,0.8695652173913043,0.8736842105263158,0.8660714285714286
49,False,4056,107.29013800621033,0.8,0.7619047619047619,0.8333333333333334
50,True,4225,236.9400269985199,0.8647342995169082,0.8105263157894737,0.9107142857142857
51,False,4225,236.9400269985199,0.7444444444444445,0.8571428571428571,0.6458333333333334
52,True,4394,127.88476991653442,0.8502415458937198,0.8421052631578947,0.8571428571428571
53,False,4394,127.88476991653442,0.7777777777777778,0.7619047619047619,0.7916666666666666
54,True,4563,132.59804677963257,0.8792270531400966,0.8315789473684211,0.9196428571428571
55,False,4563,132.59804677963257,0.7888888888888889,0.8095238095238095,0.7708333333333334
56,True,4732,180.67003679275513,0.8647342995169082,0.7894736842105263,0.9285714285714286
57,False,4732,180.67003679275513,0.8,0.6666666666666666,0.9166666666666666
58,True,4901,109.88249921798706,0.8743961352657005,0.9157894736842105,0.8392857142857143
59,False,4901,109.88249921798706,0.7444444444444445,0.8333333333333334,0.6666666666666666
