,gen,evals,avg,min,max,nevals
0,0,500.0,[ 0.50364494 -0.31401948],[ 0.18679286 -0.32962148],[ 0.78770251 -0.29302554],
1,1,,[ 0.50037624 -0.31562806],[ 0.18679286 -0.32870881],[ 0.78770251 -0.29302554],360.0
2,2,,[ 0.49843863 -0.31618494],[ 0.18679286 -0.32310488],[ 0.78761949 -0.29302554],380.0
3,3,,[ 0.4964774 -0.3163714],[ 0.21326407 -0.32537665],[ 0.78761949 -0.29302554],366.0
4,4,,[ 0.49685818 -0.31641182],[ 0.21326407 -0.32962148],[ 0.78761949 -0.30138592],372.0
5,5,,[ 0.49419504 -0.31654406],[ 0.21326407 -0.32322615],[ 0.78761949 -0.30259732],369.0
6,6,,[ 0.49756262 -0.31646211],[ 0.21499561 -0.32322615],[ 0.78761949 -0.30072527],376.0
7,7,,[ 0.49822005 -0.31642891],[ 0.18679286 -0.32721637],[ 0.78761949 -0.30220918],374.0
8,8,,[ 0.49568763 -0.3162886 ],[ 0.18679286 -0.32721637],[ 0.78761949 -0.29868678],365.0
9,9,,[ 0.49507379 -0.31641815],[ 0.18679286 -0.32253422],[ 0.78761949 -0.29868678],363.0
10,10,,[ 0.49769625 -0.31631223],[ 0.20216324 -0.32310488],[ 0.79271923 -0.29868678],369.0
11,11,,[ 0.50062494 -0.3163567 ],[ 0.20216324 -0.32139542],[ 0.8018869  -0.29868678],380.0
12,12,,[ 0.49994333 -0.31614217],[ 0.20744088 -0.32531074],[ 0.8018869  -0.29868678],362.0
13,13,,[ 0.5011703  -0.31639356],[ 0.20744088 -0.32586681],[ 0.8018869  -0.30220918],391.0
14,14,,[ 0.50084424 -0.31634308],[ 0.20087644 -0.32962148],[ 0.8018869  -0.30220918],376.0
15,15,,[ 0.50133057 -0.31643482],[ 0.20744088 -0.32586681],[ 0.8018869  -0.30138592],375.0
16,16,,[ 0.50588534 -0.31643119],[ 0.20744088 -0.32962148],[ 0.78673593 -0.30138592],379.0
17,17,,[ 0.50538147 -0.31636035],[ 0.20744088 -0.32962148],[ 0.78673593 -0.30072527],368.0
18,18,,[ 0.50183793 -0.31653527],[ 0.21322256 -0.32915942],[ 0.78673593 -0.30259732],372.0
19,19,,[ 0.50368205 -0.31644578],[ 0.21493631 -0.32586681],[ 0.81518181 -0.30220918],384.0
20,20,,[ 0.50672941 -0.31658261],[ 0.21493631 -0.32322615],[ 0.81498019 -0.29868678],376.0
21,21,,[ 0.50584044 -0.3164615 ],[ 0.21316326 -0.32537665],[ 0.81498019 -0.29868678],385.0
22,22,,[ 0.50746868 -0.31638746],[ 0.21316326 -0.32322615],[ 0.81498019 -0.29868678],387.0
23,23,,[ 0.50668887 -0.31622683],[ 0.21316326 -0.32962148],[ 0.78673593 -0.30072527],379.0
24,24,,[ 0.5008441  -0.31647169],[ 0.21316326 -0.32962148],[ 0.78673593 -0.30072527],381.0
25,25,,[ 0.50265555 -0.31630519],[ 0.21326407 -0.32437636],[ 0.78673593 -0.30072527],397.0
26,26,,[ 0.50081714 -0.31623153],[ 0.21326407 -0.32586681],[ 0.78673593 -0.30072527],378.0
27,27,,[ 0.50304934 -0.31652218],[ 0.20627268 -0.32537665],[ 0.78673593 -0.29868678],397.0
28,28,,[ 0.50089202 -0.31637409],[ 0.20951635 -0.32537665],[ 0.78673593 -0.29868678],395.0
29,29,,[ 0.5056667 -0.3164244],[ 0.2136258  -0.32216474],[ 0.78673593 -0.3035998 ],384.0
30,30,,[ 0.50693828 -0.31631843],[ 0.2136258  -0.32870881],[ 0.81320714 -0.3024833 ],381.0
31,31,,[ 0.50289362 -0.31633571],[ 0.2078026  -0.32721637],[ 0.78673593 -0.30259732],368.0
32,32,,[ 0.50068677 -0.3164151 ],[ 0.19170877 -0.32531074],[ 0.78673593 -0.3035998 ],366.0
33,33,,[ 0.50078305 -0.31640385],[ 0.19170877 -0.32870881],[ 0.78673593 -0.30220918],391.0
34,34,,[ 0.50026476 -0.31653549],[ 0.18679286 -0.32962148],[ 0.78673593 -0.30393727],367.0
35,35,,[ 0.49879886 -0.31654363],[ 0.18679286 -0.32487304],[ 0.78761949 -0.30358027],380.0
36,36,,[ 0.50062588 -0.31628547],[ 0.18481819 -0.32349508],[ 0.78761949 -0.30220918],372.0
37,37,,[ 0.50095276 -0.31637372],[ 0.18481819 -0.32962148],[ 0.78761949 -0.3024833 ],381.0
38,38,,[ 0.50709684 -0.31629016],[ 0.18481819 -0.32962148],[ 0.78959416 -0.30331366],356.0
39,39,,[ 0.50300329 -0.31640504],[ 0.18481819 -0.32870881],[ 0.78673593 -0.30138592],390.0
40,40,,[ 0.50401443 -0.3164788 ],[ 0.18481819 -0.32537665],[ 0.79813919 -0.30220918],397.0
41,41,,[ 0.50407707 -0.31636367],[ 0.18481819 -0.32310488],[ 0.80484594 -0.30335927],371.0
42,42,,[ 0.50228956 -0.31609881],[ 0.18481819 -0.32301691],[ 0.80484594 -0.30428471],368.0
43,43,,[ 0.50086601 -0.31642426],[ 0.18481819 -0.32586681],[ 0.80484594 -0.30072527],370.0
44,44,,[ 0.50058587 -0.31646067],[ 0.184919   -0.32721637],[ 0.80484594 -0.30072527],400.0
45,45,,[ 0.49966521 -0.31637925],[ 0.184919   -0.32915942],[ 0.79545886 -0.30259732],382.0
46,46,,[ 0.50001804 -0.31635746],[ 0.184919   -0.32915942],[ 0.79545886 -0.30220918],368.0
47,47,,[ 0.49864279 -0.31644183],[ 0.18314595 -0.32962148],[ 0.78673593 -0.30357396],377.0
48,48,,[ 0.50131142 -0.31643829],[ 0.18679286 -0.32586681],[ 0.78673593 -0.30072527],381.0
49,49,,[ 0.49985868 -0.31630912],[ 0.20860908 -0.32437636],[ 0.78500439 -0.3024833 ],391.0
50,50,,[ 0.49784056 -0.31636913],[ 0.20977727 -0.32915942],[ 0.78500439 -0.29302554],380.0
