,gen,nevals
0,1,500
1,2,382
2,3,384
3,4,365
4,5,377
5,6,371
6,7,396
7,8,393
8,9,402
9,10,382
10,11,365
11,12,400
12,13,386
13,14,378
14,15,385
15,16,387
16,17,379
17,18,388
18,19,380
19,20,379
20,21,379
21,22,375
22,23,399
23,24,375
24,25,382
25,26,388
26,27,370
27,28,399
28,29,387
29,30,379
30,31,373
31,32,394
32,33,374
33,34,383
34,35,375
35,36,389
36,37,373
37,38,390
38,39,391
39,40,367
40,41,360
41,42,389
42,43,387
43,44,380
44,45,401
45,46,369
46,47,393
47,48,372
48,49,388
49,50,361
