training,seed,time,full_acc,majority_acc,minority_acc,tn,fp,fn,tp
True,0,439.34518790245056,0.8734693877551021,0.9681528662420382,0.7045454545454546,62,26,5,152
False,0,439.34518790245056,0.8867924528301887,0.9411764705882353,0.7894736842105263,30,8,4,64
True,169,436.4112832546234,0.8857142857142857,1.0,0.6818181818181818,60,28,0,157
False,169,436.4112832546234,0.8679245283018868,0.9852941176470589,0.6578947368421053,25,13,1,67
True,338,388.6856780052185,0.8489795918367347,0.9936305732484076,0.5909090909090909,52,36,1,156
False,338,388.6856780052185,0.9056603773584906,0.9705882352941176,0.7894736842105263,30,8,2,66
True,507,401.0593342781067,0.8612244897959184,1.0,0.6136363636363636,54,34,0,157
False,507,401.0593342781067,0.8773584905660378,0.9852941176470589,0.6842105263157895,26,12,1,67
True,676,448.99786615371704,0.8734693877551021,0.9936305732484076,0.6590909090909091,58,30,1,156
False,676,448.99786615371704,0.839622641509434,1.0,0.5526315789473685,21,17,0,68
True,845,481.04102849960327,0.9020408163265307,0.9872611464968153,0.75,66,22,2,155
False,845,481.04102849960327,0.7924528301886793,0.9264705882352942,0.5526315789473685,21,17,5,63
True,1014,478.40781831741333,0.8816326530612245,1.0,0.6704545454545454,59,29,0,157
False,1014,478.40781831741333,0.8773584905660378,1.0,0.6578947368421053,25,13,0,68
True,1183,451.22803139686584,0.8857142857142857,0.9936305732484076,0.6931818181818182,61,27,1,156
False,1183,451.22803139686584,0.8584905660377359,0.9852941176470589,0.631578947368421,24,14,1,67
True,1352,464.7357678413391,0.8734693877551021,0.9426751592356688,0.75,66,22,9,148
False,1352,464.7357678413391,0.8490566037735849,0.9117647058823529,0.7368421052631579,28,10,6,62
True,1521,487.7258493900299,0.8489795918367347,0.9617834394904459,0.6477272727272727,57,31,6,151
False,1521,487.7258493900299,0.7830188679245284,0.8970588235294118,0.5789473684210527,22,16,7,61
True,1690,462.0678656101227,0.8857142857142857,0.9936305732484076,0.6931818181818182,61,27,1,156
False,1690,462.0678656101227,0.839622641509434,1.0,0.5526315789473685,21,17,0,68
True,1859,457.33651423454285,0.8857142857142857,1.0,0.6818181818181818,60,28,0,157
False,1859,457.33651423454285,0.8301886792452831,1.0,0.5263157894736842,20,18,0,68
True,2028,409.6399176120758,0.8612244897959184,1.0,0.6136363636363636,54,34,0,157
False,2028,409.6399176120758,0.839622641509434,0.9852941176470589,0.5789473684210527,22,16,1,67
True,2197,410.8817026615143,0.8530612244897959,0.9872611464968153,0.6136363636363636,54,34,2,155
False,2197,410.8817026615143,0.8867924528301887,0.9558823529411765,0.7631578947368421,29,9,3,65
True,2366,466.6219165325165,0.8612244897959184,1.0,0.6136363636363636,54,34,0,157
False,2366,466.6219165325165,0.8301886792452831,1.0,0.5263157894736842,20,18,0,68
True,2535,421.84057807922363,0.8530612244897959,0.9872611464968153,0.6136363636363636,54,34,2,155
False,2535,421.84057807922363,0.839622641509434,1.0,0.5526315789473685,21,17,0,68
True,2704,501.5806243419647,0.8816326530612245,0.9936305732484076,0.6818181818181818,60,28,1,156
False,2704,501.5806243419647,0.8301886792452831,1.0,0.5263157894736842,20,18,0,68
True,2873,428.68231987953186,0.8653061224489796,0.9936305732484076,0.6363636363636364,56,32,1,156
False,2873,428.68231987953186,0.8679245283018868,0.9411764705882353,0.7368421052631579,28,10,4,64
True,3042,472.872430562973,0.8653061224489796,1.0,0.625,55,33,0,157
False,3042,472.872430562973,0.839622641509434,0.9852941176470589,0.5789473684210527,22,16,1,67
True,3211,440.342431306839,0.8530612244897959,1.0,0.5909090909090909,52,36,0,157
False,3211,440.342431306839,0.8773584905660378,1.0,0.6578947368421053,25,13,0,68
True,3380,465.16324377059937,0.8693877551020408,1.0,0.6363636363636364,56,32,0,157
False,3380,465.16324377059937,0.8207547169811321,0.9705882352941176,0.5526315789473685,21,17,2,66
True,3549,461.96904373168945,0.889795918367347,0.9808917197452229,0.7272727272727273,64,24,3,154
False,3549,461.96904373168945,0.8490566037735849,0.9411764705882353,0.6842105263157895,26,12,4,64
True,3718,416.63554978370667,0.8938775510204081,1.0,0.7045454545454546,62,26,0,157
False,3718,416.63554978370667,0.8207547169811321,1.0,0.5,19,19,0,68
True,3887,384.75903248786926,0.8775510204081632,0.9872611464968153,0.6818181818181818,60,28,2,155
False,3887,384.75903248786926,0.8301886792452831,0.9852941176470589,0.5526315789473685,21,17,1,67
True,4056,458.0475609302521,0.8816326530612245,1.0,0.6704545454545454,59,29,0,157
False,4056,458.0475609302521,0.8113207547169812,1.0,0.47368421052631576,18,20,0,68
True,4225,477.9167356491089,0.8653061224489796,0.9936305732484076,0.6363636363636364,56,32,1,156
False,4225,477.9167356491089,0.8584905660377359,0.9705882352941176,0.6578947368421053,25,13,2,66
True,4394,430.25150966644287,0.8653061224489796,0.9617834394904459,0.6931818181818182,61,27,6,151
False,4394,430.25150966644287,0.8490566037735849,0.9411764705882353,0.6842105263157895,26,12,4,64
True,4563,462.81700921058655,0.8938775510204081,1.0,0.7045454545454546,62,26,0,157
False,4563,462.81700921058655,0.839622641509434,1.0,0.5526315789473685,21,17,0,68
True,4732,473.3157546520233,0.8816326530612245,0.9936305732484076,0.6818181818181818,60,28,1,156
False,4732,473.3157546520233,0.8207547169811321,1.0,0.5,19,19,0,68
True,4901,451.5808401107788,0.889795918367347,0.9936305732484076,0.7045454545454546,62,26,1,156
False,4901,451.5808401107788,0.839622641509434,1.0,0.5526315789473685,21,17,0,68
