,gen,evals,avg,min,max,nevals
0,0,500.0,[ 0.49068298 -0.30510542],[ 0.05932187 -0.32360045],[ 0.93075264 -0.28401013],
1,1,,[ 0.48348237 -0.3036207 ],[ 0.0600439 -0.3167616],[ 0.93402584 -0.28874888],373.0
2,2,,[ 0.49000119 -0.30312398],[ 0.0600439  -0.32045443],[ 0.93402584 -0.28732015],390.0
3,3,,[ 0.49598741 -0.30323798],[ 0.06647477 -0.32360045],[ 0.93402584 -0.28874888],351.0
4,4,,[ 0.49172875 -0.30332654],[ 0.06647477 -0.32360045],[ 0.94433641 -0.29247354],368.0
5,5,,[ 0.49609617 -0.30329789],[ 0.06647477 -0.32360045],[ 0.93674067 -0.29189362],366.0
6,6,,[ 0.49651936 -0.30313237],[ 0.06647477 -0.32034836],[ 0.93402584 -0.28944034],363.0
7,7,,[ 0.49206568 -0.30335964],[ 0.06647477 -0.32073069],[ 0.93402584 -0.29094908],387.0
8,8,,[ 0.49147207 -0.30324864],[ 0.06647477 -0.32034836],[ 0.93402584 -0.28732015],386.0
9,9,,[ 0.4935332  -0.30328077],[ 0.06647477 -0.3188609 ],[ 0.9374627  -0.28401013],388.0
10,10,,[ 0.49684185 -0.30325333],[ 0.06647477 -0.3188609 ],[ 0.9374627  -0.29145413],399.0
11,11,,[ 0.49690101 -0.30303372],[ 0.06165162 -0.3188609 ],[ 0.9374627  -0.28874888],371.0
12,12,,[ 0.49453305 -0.30327835],[ 0.06165162 -0.32235047],[ 0.93491153 -0.28944034],391.0
13,13,,[ 0.49125044 -0.30323202],[ 0.06165162 -0.32235047],[ 0.92127    -0.28944034],368.0
14,14,,[ 0.49411077 -0.30325955],[ 0.06165162 -0.31815892],[ 0.92127    -0.29145413],388.0
15,15,,[ 0.48515873 -0.30324367],[ 0.06165162 -0.31808764],[ 0.91750582 -0.28401013],390.0
16,16,,[ 0.48858991 -0.30339565],[ 0.06165162 -0.32045443],[ 0.91750582 -0.29094908],381.0
17,17,,[ 0.48603242 -0.30334779],[ 0.06165162 -0.32235047],[ 0.91750582 -0.29094908],390.0
18,18,,[ 0.48671962 -0.30320757],[ 0.06165162 -0.32034836],[ 0.91750582 -0.29094908],399.0
19,19,,[ 0.48962557 -0.30324888],[ 0.06165162 -0.32073069],[ 0.91750582 -0.29191253],402.0
20,20,,[ 0.48766061 -0.30313016],[ 0.06165162 -0.32045443],[ 0.91750582 -0.28874888],388.0
21,21,,[ 0.49153761 -0.30328812],[ 0.06165162 -0.31851221],[ 0.91007374 -0.29094908],377.0
22,22,,[ 0.4948988  -0.30353745],[ 0.06165162 -0.32235047],[ 0.91007374 -0.28944034],368.0
23,23,,[ 0.49458944 -0.30334575],[ 0.06165162 -0.31643452],[ 0.91041069 -0.28401013],386.0
24,24,,[ 0.49637465 -0.30324423],[ 0.0586576  -0.31655447],[ 0.9206635  -0.28874888],390.0
25,25,,[ 0.50107569 -0.30310879],[ 0.08005853 -0.31643452],[ 0.9206635  -0.28732015],366.0
26,26,,[ 0.49493611 -0.30309911],[ 0.08005853 -0.32360045],[ 0.91029517 -0.28874888],367.0
27,27,,[ 0.50069498 -0.30317044],[ 0.08005853 -0.32360045],[ 0.91750582 -0.29094908],370.0
28,28,,[ 0.49912808 -0.30327659],[ 0.08005853 -0.32034836],[ 0.91844928 -0.29191253],372.0
29,29,,[ 0.49553861 -0.30332218],[ 0.08005853 -0.3188609 ],[ 0.91844928 -0.28732015],393.0
30,30,,[ 0.50011651 -0.30322159],[ 0.07845082 -0.3188609 ],[ 0.92049984 -0.29094908],386.0
31,31,,[ 0.4980939  -0.30324832],[ 0.07340624 -0.31851221],[ 0.91589811 -0.29145413],383.0
32,32,,[ 0.49618413 -0.30325722],[ 0.08177215 -0.31851221],[ 0.9360764  -0.29145413],391.0
33,33,,[ 0.49536496 -0.30342959],[ 0.10921886 -0.32123418],[ 0.91750582 -0.29145413],381.0
34,34,,[ 0.49677257 -0.30333841],[ 0.09241966 -0.32123418],[ 0.92005699 -0.28401013],370.0
35,35,,[ 0.49761205 -0.30328311],[ 0.07429193 -0.32360045],[ 0.9567553  -0.29309428],367.0
36,36,,[ 0.49622912 -0.3032882 ],[ 0.07429193 -0.32123418],[ 0.9567553  -0.29094908],363.0
37,37,,[ 0.50329865 -0.30329266],[ 0.04895354 -0.31851221],[ 0.91029517 -0.29094908],402.0
38,38,,[ 0.50772315 -0.30304948],[ 0.08942565 -0.31808764],[ 0.91029517 -0.29094908],376.0
39,39,,[ 0.50630862 -0.30326468],[ 0.07850858 -0.32123418],[ 0.91029517 -0.28944034],376.0
40,40,,[ 0.50366269 -0.30336321],[ 0.08942565 -0.32360045],[ 0.8979918  -0.28732015],387.0
41,41,,[ 0.50418438 -0.30324533],[ 0.09264108 -0.32360045],[ 0.90042744 -0.28944034],372.0
42,42,,[ 0.5036014  -0.30339602],[ 0.06042898 -0.32073069],[ 0.91041069 -0.29222892],375.0
43,43,,[ 0.50694518 -0.30333008],[ 0.08970483 -0.32360045],[ 0.92149142 -0.29247354],376.0
44,44,,[ 0.50530466 -0.30318377],[ 0.0897626  -0.32360045],[ 0.9270366  -0.28732015],367.0
45,45,,[ 0.50458194 -0.30322556],[ 0.08249418 -0.32034836],[ 0.92149142 -0.28401013],385.0
46,46,,[ 0.50434559 -0.30328926],[ 0.0658105  -0.32034836],[ 0.92082716 -0.29222892],376.0
47,47,,[ 0.50260025 -0.30338873],[ 0.08249418 -0.32045443],[ 0.93025204 -0.29441238],374.0
48,48,,[ 0.50072197 -0.30321251],[ 0.08249418 -0.32235047],[ 0.94938098 -0.28401013],387.0
49,49,,[ 0.49903098 -0.30322698],[ 0.08249418 -0.31851221],[ 0.93025204 -0.28944034],383.0
50,50,,[ 0.50259824 -0.30312775],[ 0.07329072 -0.3167616 ],[ 0.93025204 -0.28944034],382.0
