training,seed,time,full_acc,full_tpr,full_tnr
True,0,1407.878437757492,0.8451882845188284,1.0,0.7620578778135049
False,0,1407.878437757492,0.8536585365853658,0.9861111111111112,0.7819548872180451
True,169,1281.4669270515442,0.6861924686192469,0.10179640718562874,1.0
False,169,1281.4669270515442,0.6878048780487804,0.1111111111111111,1.0
True,338,1340.3109021186829,0.805439330543933,0.46706586826347307,0.9871382636655949
False,338,1340.3109021186829,0.8146341463414634,0.5,0.9849624060150376
True,507,1238.6821067333221,0.9163179916317992,0.9161676646706587,0.9163987138263665
False,507,1238.6821067333221,0.926829268292683,0.9861111111111112,0.8947368421052632
True,676,1406.544409275055,0.6506276150627615,0.0,1.0
False,676,1406.544409275055,0.6487804878048781,0.0,1.0
True,845,1414.3445761203766,0.3493723849372385,1.0,0.0
False,845,1414.3445761203766,0.35121951219512193,1.0,0.0
True,1014,1217.8845891952515,0.8619246861924686,0.9880239520958084,0.7942122186495176
False,1014,1217.8845891952515,0.824390243902439,1.0,0.7293233082706767
True,1183,1630.8660190105438,0.7615062761506276,0.32934131736526945,0.9935691318327974
False,1183,1630.8660190105438,0.7414634146341463,0.2916666666666667,0.9849624060150376
True,1352,1392.1753406524658,0.6778242677824268,0.07784431137724551,1.0
False,1352,1392.1753406524658,0.6585365853658537,0.027777777777777776,1.0
True,1521,1213.1086642742157,0.8702928870292888,0.7005988023952096,0.9614147909967846
False,1521,1213.1086642742157,0.8926829268292683,0.7083333333333334,0.9924812030075187
True,1690,1247.1314084529877,0.8200836820083682,0.5508982035928144,0.9646302250803859
False,1690,1247.1314084529877,0.8341463414634146,0.5694444444444444,0.9774436090225563
True,1859,1291.8209838867188,0.8347280334728033,0.5568862275449101,0.9839228295819936
False,1859,1291.8209838867188,0.8341463414634146,0.5416666666666666,0.9924812030075187
True,2028,1528.702196598053,0.41841004184100417,1.0,0.10610932475884244
False,2028,1528.702196598053,0.4146341463414634,1.0,0.09774436090225563
True,2197,1259.4926843643188,0.9079497907949791,0.8862275449101796,0.9196141479099679
False,2197,1259.4926843643188,0.8878048780487805,0.8194444444444444,0.924812030075188
True,2366,1322.5061552524567,0.8870292887029289,0.9880239520958084,0.8327974276527331
False,2366,1322.5061552524567,0.8780487804878049,0.9722222222222222,0.8270676691729323
True,2535,1616.19877576828,0.7803347280334728,0.38323353293413176,0.9935691318327974
False,2535,1616.19877576828,0.7658536585365854,0.3333333333333333,1.0
True,2704,1366.6138095855713,0.8389121338912134,1.0,0.752411575562701
False,2704,1366.6138095855713,0.8195121951219512,1.0,0.7218045112781954
True,2873,1524.9019229412079,0.7468619246861925,0.30538922155688625,0.9839228295819936
False,2873,1524.9019229412079,0.7073170731707317,0.25,0.9548872180451128
True,3042,1447.523818731308,0.6548117154811716,0.011976047904191617,1.0
False,3042,1447.523818731308,0.6487804878048781,0.0,1.0
True,3211,1296.0487554073334,0.9372384937238494,0.9281437125748503,0.9421221864951769
False,3211,1296.0487554073334,0.9463414634146341,0.8888888888888888,0.9774436090225563
True,3380,1345.0183391571045,0.8451882845188284,1.0,0.7620578778135049
False,3380,1345.0183391571045,0.8780487804878049,1.0,0.8120300751879699
True,3549,1356.915997505188,0.6485355648535565,1.0,0.45980707395498394
False,3549,1356.915997505188,0.6780487804878049,1.0,0.5037593984962406
True,3718,1320.9807646274567,0.8430962343096234,0.592814371257485,0.977491961414791
False,3718,1320.9807646274567,0.8585365853658536,0.6388888888888888,0.9774436090225563
True,3887,1235.7079005241394,0.9330543933054394,0.9101796407185628,0.9453376205787781
False,3887,1235.7079005241394,0.8926829268292683,0.875,0.9022556390977443
True,4056,1297.8585379123688,0.9184100418410042,0.9700598802395209,0.8906752411575563
False,4056,1297.8585379123688,0.8975609756097561,0.9583333333333334,0.8646616541353384
True,4225,1517.761501789093,0.7677824267782427,0.7305389221556886,0.7877813504823151
False,4225,1517.761501789093,0.7365853658536585,0.6388888888888888,0.7894736842105263
True,4394,1175.874721288681,0.899581589958159,0.9221556886227545,0.887459807073955
False,4394,1175.874721288681,0.8975609756097561,0.9027777777777778,0.8947368421052632
True,4563,1125.6869699954987,0.9184100418410042,0.9401197604790419,0.9067524115755627
False,4563,1125.6869699954987,0.8585365853658536,0.9166666666666666,0.8270676691729323
True,4732,1435.194603919983,0.7280334728033473,1.0,0.5819935691318328
False,4732,1435.194603919983,0.7219512195121951,0.9861111111111112,0.5789473684210527
True,4901,1290.9848854541779,0.9267782426778243,0.9820359281437125,0.8971061093247589
False,4901,1290.9848854541779,0.9219512195121952,0.9583333333333334,0.9022556390977443
