,gen,evals,avg,min,max,nevals
0,0,500.0,[0.22446154 0.77833333],[0. 0.],[1. 1.],
1,1,,[0.24092977 0.76743262],[0. 0.],[1. 1.],389.0
2,2,,[0.24776589 0.75599291],[0. 0.],[1. 1.],381.0
3,3,,[0.26686957 0.73778014],[0. 0.],[1. 1.],373.0
4,4,,[0.28542475 0.72643972],[0. 0.],[1. 1.],380.0
5,5,,[0.30545151 0.70497163],[0. 0.],[1. 1.],387.0
6,6,,[0.30930435 0.70016312],[0. 0.],[1. 1.],395.0
7,7,,[0.31782609 0.69142553],[0. 0.],[1. 1.],410.0
8,8,,[0.33791304 0.66594326],[0. 0.],[1. 1.],378.0
9,9,,[0.33276923 0.67405674],[0. 0.],[1. 1.],395.0
10,10,,[0.32559197 0.68095035],[0. 0.],[1. 1.],365.0
11,11,,[0.34422074 0.66013475],[0. 0.],[1. 1.],376.0
12,12,,[0.35106355 0.6539078 ],[0. 0.],[1. 1.],373.0
13,13,,[0.32895652 0.67499291],[0. 0.],[1. 1.],386.0
14,14,,[0.32931773 0.66978014],[0. 0.],[1. 1.],374.0
15,15,,[0.3353913  0.66909929],[0. 0.],[1. 1.],377.0
16,16,,[0.33192642 0.66816312],[0. 0.],[1. 1.],387.0
17,17,,[0.3335786  0.67342553],[0. 0.],[1. 1.],365.0
18,18,,[0.32961204 0.68046099],[0. 0.],[1. 1.],376.0
19,19,,[0.32931773 0.67532624],[0. 0.],[1. 1.],386.0
20,20,,[0.3058194  0.69791489],[0. 0.],[1. 1.],376.0
21,21,,[0.30619398 0.68643972],[0. 0.],[1. 1.],389.0
22,22,,[0.33474916 0.65924113],[0. 0.],[1. 1.],391.0
23,23,,[0.31718395 0.67015603],[0. 0.],[1. 1.],391.0
24,24,,[0.31738462 0.68009929],[0. 0.],[1. 1.],365.0
25,25,,[0.33202676 0.65925532],[0. 0.],[1. 1.],371.0
26,26,,[0.33844816 0.65784397],[0. 0.],[1. 1.],379.0
27,27,,[0.33523077 0.66057447],[0. 0.],[1. 1.],383.0
28,28,,[0.33846823 0.66520567],[0. 0.],[1. 1.],371.0
29,29,,[0.34985953 0.65648227],[0. 0.],[1. 1.],372.0
30,30,,[0.36446154 0.63905674],[0. 0.],[1. 1.],370.0
31,31,,[0.35172575 0.65408511],[0. 0.],[1. 1.],378.0
32,32,,[0.34137793 0.66371631],[0. 0.],[1. 1.],379.0
33,33,,[0.34332441 0.65778723],[0. 0.],[1. 1.],379.0
34,34,,[0.35446154 0.65104965],[0. 0.],[1. 1.],378.0
35,35,,[0.34765886 0.65958865],[0. 0.],[1. 1.],382.0
36,36,,[0.32920401 0.67846809],[0. 0.],[1. 1.],371.0
37,37,,[0.31937793 0.68912057],[0. 0.],[1. 1.],394.0
38,38,,[0.32704348 0.67228369],[0. 0.],[1. 1.],373.0
39,39,,[0.32137793 0.67770213],[0. 0.],[1. 1.],388.0
40,40,,[0.31723077 0.68183688],[0. 0.],[1. 1.],373.0
41,41,,[0.31382609 0.67698582],[0. 0.],[1. 1.],379.0
42,42,,[0.31005351 0.6857234 ],[0. 0.],[1. 1.],357.0
43,43,,[0.31571237 0.6819078 ],[0. 0.],[1. 1.],365.0
44,44,,[0.33277592 0.67085106],[0. 0.],[1. 1.],379.0
45,45,,[0.33135786 0.66673759],[0. 0.],[1. 1.],371.0
46,46,,[0.32204682 0.67174468],[0. 0.],[1. 1.],380.0
47,47,,[0.30607358 0.6879078 ],[0. 0.],[1. 1.],382.0
48,48,,[0.3053311 0.6918156],[0. 0.],[1. 1.],372.0
49,49,,[0.31734448 0.67687234],[0. 0.],[1. 1.],344.0
50,50,,[0.3078796  0.68231915],[0. 0.],[1. 1.],390.0
