,gen,nevals
0,1,500
1,2,375
2,3,364
3,4,365
4,5,383
5,6,365
6,7,387
7,8,360
8,9,383
9,10,389
10,11,369
11,12,370
12,13,372
13,14,365
14,15,393
15,16,354
16,17,373
17,18,394
18,19,358
19,20,380
20,21,373
21,22,386
22,23,377
23,24,367
24,25,392
25,26,375
26,27,381
27,28,382
28,29,378
29,30,379
30,31,372
31,32,385
32,33,394
33,34,365
34,35,379
35,36,365
36,37,370
37,38,377
38,39,378
39,40,390
40,41,389
41,42,377
42,43,397
43,44,382
44,45,381
45,46,381
46,47,391
47,48,385
48,49,379
49,50,376
