,gen,nevals
0,1,500
1,2,373
2,3,353
3,4,392
4,5,395
5,6,370
6,7,360
7,8,378
8,9,371
9,10,370
10,11,378
11,12,379
12,13,388
13,14,373
14,15,373
15,16,382
16,17,371
17,18,379
18,19,363
19,20,382
20,21,401
21,22,362
22,23,394
23,24,393
24,25,383
25,26,376
26,27,380
27,28,376
28,29,370
29,30,367
30,31,376
31,32,354
32,33,367
33,34,374
34,35,385
35,36,376
36,37,380
37,38,388
38,39,360
39,40,368
40,41,358
41,42,369
42,43,389
43,44,363
44,45,377
45,46,391
46,47,375
47,48,414
48,49,381
49,50,359
