,gen,evals,avg,min,max,nevals
0,0,500.0,[ 0.5037971  -0.00281684],[ 0.19806763 -0.00292154],[ 0.74879227 -0.00272198],
1,1,,[ 0.50829952 -0.00281267],[ 0.2173913  -0.00292154],[ 0.74879227 -0.00274438],365.0
2,2,,[ 0.50763285 -0.00281108],[ 0.2173913  -0.00292154],[ 0.79227053 -0.00272712],366.0
3,3,,[ 0.51354589 -0.00281076],[ 0.25120773 -0.00290597],[ 0.77294686 -0.00274341],388.0
4,4,,[ 0.51741063 -0.00281103],[ 0.24637681 -0.00289681],[ 0.77294686 -0.00272204],380.0
5,5,,[ 0.52162319 -0.00281069],[ 0.24637681 -0.00289681],[ 0.75362319 -0.00272198],396.0
6,6,,[ 0.5207343  -0.00281185],[ 0.25120773 -0.00292154],[ 0.78743961 -0.00272198],365.0
7,7,,[ 0.51905314 -0.00281194],[ 0.26086957 -0.00291561],[ 0.78743961 -0.00272447],364.0
8,8,,[ 0.52269565 -0.00281128],[ 0.24637681 -0.00291561],[ 0.7826087  -0.00272447],372.0
9,9,,[ 0.52156522 -0.00281099],[ 0.24637681 -0.00290597],[ 0.78743961 -0.00272447],370.0
10,10,,[ 0.52516908 -0.00281139],[ 0.26086957 -0.00290597],[ 0.78743961 -0.00272395],374.0
11,11,,[ 0.525343   -0.00281126],[ 0.19806763 -0.00291026],[ 0.78743961 -0.00272204],376.0
12,12,,[ 0.52496618 -0.0028119 ],[ 0.19806763 -0.00291026],[ 0.78743961 -0.00272204],387.0
13,13,,[ 0.52956522 -0.0028105 ],[ 0.25603865 -0.00290597],[ 0.78743961 -0.00273802],362.0
14,14,,[ 0.52499517 -0.00281057],[ 0.20772947 -0.00290597],[ 0.79227053 -0.00273775],366.0
15,15,,[ 0.52663768 -0.00281151],[ 0.19323671 -0.0029    ],[ 0.80193237 -0.00272712],392.0
16,16,,[ 0.52377778 -0.0028113 ],[ 0.25603865 -0.00290597],[ 0.79227053 -0.00272395],381.0
17,17,,[ 0.53104348 -0.00281112],[ 0.25603865 -0.00292154],[ 0.79227053 -0.00273775],375.0
18,18,,[ 0.53109179 -0.00281019],[ 0.25603865 -0.00291026],[ 0.79227053 -0.00272447],397.0
19,19,,[ 0.53320773 -0.00281032],[ 0.26086957 -0.00290577],[ 0.77777778 -0.00272447],375.0
20,20,,[ 0.53209662 -0.00281068],[ 0.26086957 -0.00290577],[ 0.77294686 -0.00274438],367.0
21,21,,[ 0.53516908 -0.00281043],[ 0.2705314  -0.00290597],[ 0.77294686 -0.00274459],386.0
22,22,,[ 0.5385314 -0.0028115],[ 0.2705314  -0.00291561],[ 0.77294686 -0.00274551],387.0
23,23,,[ 0.53964251 -0.00281029],[ 0.26570048 -0.00285348],[ 0.77294686 -0.00274568],369.0
24,24,,[ 0.54071498 -0.00281041],[ 0.27536232 -0.00289681],[ 0.77294686 -0.00272204],399.0
25,25,,[ 0.54170048 -0.00281096],[ 0.27536232 -0.00291561],[ 0.77294686 -0.00273802],383.0
26,26,,[ 0.54162319 -0.00281074],[ 0.26570048 -0.00291026],[ 0.77294686 -0.00274438],382.0
27,27,,[ 0.54164251 -0.00281063],[ 0.26570048 -0.0029    ],[ 0.77294686 -0.00273215],383.0
28,28,,[ 0.54180676 -0.00281105],[ 0.23188406 -0.00291026],[ 0.77294686 -0.00272447],375.0
29,29,,[ 0.54393237 -0.00281057],[ 0.23188406 -0.00287912],[ 0.77294686 -0.00272198],352.0
30,30,,[ 0.54682126 -0.00281184],[ 0.26086957 -0.00291561],[ 0.77294686 -0.00275896],376.0
31,31,,[ 0.54435749 -0.00281112],[ 0.26086957 -0.00291561],[ 0.77294686 -0.00272712],389.0
32,32,,[ 0.54390338 -0.00281148],[ 0.26086957 -0.00291561],[ 0.77294686 -0.0027678 ],385.0
33,33,,[ 0.53947826 -0.00281055],[ 0.26086957 -0.00289939],[ 0.78743961 -0.00276067],374.0
34,34,,[ 0.54489855 -0.00281061],[ 0.26086957 -0.00289939],[ 0.78743961 -0.00272204],381.0
35,35,,[ 0.54670531 -0.0028101 ],[ 0.26570048 -0.00289681],[ 0.78743961 -0.00272204],368.0
36,36,,[ 0.54470531 -0.00280992],[ 0.26570048 -0.00285422],[ 0.78743961 -0.00272447],378.0
37,37,,[ 0.5452657  -0.00281078],[ 0.25120773 -0.0029    ],[ 0.8115942  -0.00272712],390.0
38,38,,[ 0.54479227 -0.00281191],[ 0.27536232 -0.0029    ],[ 0.8115942  -0.00272712],384.0
39,39,,[ 0.54556522 -0.00281103],[ 0.26086957 -0.00290577],[ 0.8115942  -0.00272395],401.0
40,40,,[ 0.5454686  -0.00281074],[ 0.24154589 -0.00285637],[ 0.8115942  -0.00272198],372.0
41,41,,[ 0.5435942  -0.00281121],[ 0.26570048 -0.00289916],[ 0.77777778 -0.00273215],386.0
42,42,,[ 0.54353623 -0.00281075],[ 0.26570048 -0.00291026],[ 0.7826087  -0.00273215],369.0
43,43,,[ 0.53748792 -0.00281088],[ 0.26086957 -0.00291561],[ 0.7826087  -0.00273215],377.0
44,44,,[ 0.53816425 -0.00281016],[ 0.26086957 -0.00291561],[ 0.7826087  -0.00272712],372.0
45,45,,[ 0.53809662 -0.00281009],[ 0.26086957 -0.00291561],[ 0.77294686 -0.00272395],361.0
46,46,,[ 0.53985507 -0.00280974],[ 0.23671498 -0.00286049],[ 0.80676329 -0.00272395],377.0
47,47,,[ 0.53978744 -0.00281098],[ 0.23671498 -0.00286985],[ 0.80676329 -0.00272395],391.0
48,48,,[ 0.53692754 -0.00281037],[ 0.23671498 -0.00289838],[ 0.79710145 -0.00272204],381.0
49,49,,[ 0.5409372  -0.00280994],[ 0.25120773 -0.00291561],[ 0.79710145 -0.00272204],392.0
50,50,,[ 0.54259903 -0.00280995],[ 0.25120773 -0.00291561],[ 0.79710145 -0.00272447],362.0
