,gen,nevals
0,1,500
1,2,379
2,3,367
3,4,393
4,5,378
5,6,370
6,7,391
7,8,384
8,9,396
9,10,380
10,11,371
11,12,367
12,13,371
13,14,373
14,15,373
15,16,382
16,17,387
17,18,390
18,19,396
19,20,394
20,21,390
21,22,387
22,23,383
23,24,386
24,25,380
25,26,378
26,27,384
27,28,366
28,29,377
29,30,391
30,31,364
31,32,381
32,33,379
33,34,389
34,35,367
35,36,359
36,37,361
37,38,389
38,39,377
39,40,385
40,41,391
41,42,371
42,43,376
43,44,376
44,45,376
45,46,362
46,47,380
47,48,401
48,49,385
49,50,391
